date_obj,Purple%20elegant%20skirt price
2017-10-05,980
2017-10-06,980
2017-10-07,984
2017-10-08,984
2017-10-09,984
2017-10-10,984
2017-10-11,984
2017-10-12,973
2017-10-13,973
2017-10-14,973
2017-10-15,973
2017-10-16,969
2017-10-17,969
2017-10-18,969
2017-10-19,969
2017-10-20,969
2017-10-21,985
2017-10-22,985
2017-10-23,985
2017-10-24,985
2017-10-25,994
2017-10-26,994
2017-10-27,994
2017-10-28,994
2017-10-29,994
2017-10-30,1001
2017-10-31,1001
2017-11-01,1001
2017-11-02,1001
2017-11-03,1001
2017-11-04,982
2017-11-05,982
2017-11-06,982
2017-11-07,982
2017-11-08,982
2017-11-09,1002
2017-11-10,1002
2017-11-11,1002
2017-11-12,1002
2017-11-13,1026
2017-11-14,1026
2017-11-15,1026
2017-11-16,1026
2017-11-17,1032
2017-11-18,1032
2017-11-19,1032
2017-11-20,1032
2017-11-21,1032
2017-11-22,1007
2017-11-23,1007
2017-11-24,1007
2017-11-25,1007
2017-11-26,1011
2017-11-27,1011
2017-11-28,1011
2017-11-29,1011
2017-11-30,1011
2017-12-01,1043
2017-12-02,1043
2017-12-03,1043
2017-12-04,1043
2017-12-05,1034
2017-12-06,1034
2017-12-07,1034
2017-12-08,1034
2017-12-09,1034
2017-12-10,1014
2017-12-11,1014
2017-12-12,1014
2017-12-14,1014
2017-12-15,1002
2017-12-16,1002
2017-12-17,1002
2017-12-18,1002
2017-12-19,993
2017-12-20,993
2017-12-21,993
2017-12-22,993
2017-12-23,993
2017-12-24,997
2017-12-25,997
2017-12-26,997
2017-12-27,997
2017-12-28,1003
2017-12-29,1003
2017-12-30,1003
2017-12-31,996
2018-01-01,996
2018-01-02,996
2018-01-03,996
2018-01-04,993
2018-01-05,993
2018-01-06,993
2018-01-07,993
2018-01-08,1024
2018-01-09,1024
2018-01-10,1024
2018-01-11,1024
2018-01-12,1001
2018-01-13,1001
2018-01-14,1001
2018-01-15,981
2018-01-16,981
2018-01-17,981
2018-01-18,1002
2018-01-19,1002
2018-01-20,1002
2018-01-21,1002
2018-01-22,1007
2018-01-23,1007
2018-01-24,1007
2018-01-25,995
2018-01-26,995
2018-01-27,995
2018-01-28,998
2018-01-29,998
2018-01-31,960
2018-02-01,960
2018-02-02,960
2018-02-03,932
2018-02-04,932
2018-02-05,932
2018-02-06,964
2018-02-07,964
2018-02-08,964
2018-02-09,970
2018-02-10,970
2018-02-11,970
2018-02-12,950
2018-02-13,950
2018-02-14,950
2018-02-15,950
2018-02-16,950
2018-02-17,950
2018-02-18,935
2018-02-19,935
2018-02-20,931
2018-02-21,931
2018-02-22,931
2018-02-23,909
2018-02-24,909
2018-02-25,908
2018-02-26,908
2018-02-27,908
2018-02-28,907
2018-03-01,907
2018-03-02,895
2018-03-03,895
2018-03-04,895
2018-03-05,911
2018-03-06,911
2018-03-07,913
2018-03-08,913
2018-03-09,913
2018-03-10,913
2018-03-11,908
2018-03-12,908
2018-03-13,908
2018-03-14,919
2018-03-15,919
2018-03-16,919
2018-03-17,938
2018-03-18,938
2018-03-19,938
2018-03-20,936
2018-03-21,936
2018-03-23,936
2018-03-24,943
2018-03-26,943
2018-03-27,943
2018-03-28,991
2018-03-29,991
2018-03-30,991
2018-03-31,1002
2018-04-01,1002
2018-04-02,1002
2018-04-03,1003
2018-04-04,1003
2018-04-05,1003
2018-04-06,1003
2018-04-08,980
2018-04-09,980
2018-04-10,965
2018-04-11,965
2018-04-12,965
2018-04-13,943
2018-04-14,943
2018-04-15,960
2018-04-16,960
2018-04-17,960
2018-04-18,960
2018-04-19,960
2018-04-20,972
2018-04-21,972
2018-04-22,972
2018-04-23,960
2018-04-24,960
2018-04-25,960
2018-04-26,950
2018-04-27,950
2018-04-28,950
2018-04-29,918
2018-04-30,918
2018-05-01,918
2018-05-02,918
2018-05-03,895
2018-05-04,895
2018-05-05,893
2018-05-06,893
2018-05-07,893
2018-05-08,893
2018-05-09,867
2018-05-10,867
2018-05-11,867
2018-05-12,863
2018-05-13,863
2018-05-14,863
2018-05-15,860
2018-05-16,860
2018-05-17,860
2018-05-18,865
2018-05-19,865
2018-05-20,865
2018-05-21,865
2018-05-22,889
2018-05-23,889
2018-05-24,889
2018-05-25,907
2018-05-26,907
2018-05-27,907
2018-05-28,912
2018-05-29,912
2018-05-30,912
2018-05-31,925
2018-06-01,925
2018-06-02,925
2018-06-03,936
2018-06-04,936
2018-06-05,936
2018-06-06,929
2018-06-07,929
2018-06-08,929
2018-06-09,930
2018-06-10,930
2018-06-11,930
2018-06-12,918
2018-06-13,918
2018-06-14,901
2018-06-15,901
2018-06-16,901
2018-06-17,870
2018-06-18,870
2018-06-19,872
2018-06-20,872
2018-06-21,872
2018-06-22,865
2018-06-23,865
2018-06-24,865
2018-06-25,866
2018-06-26,866
2018-06-27,866
2018-06-28,899
2018-06-29,899
2018-06-30,899
2018-07-01,899
2018-07-02,899
2018-07-03,899
2018-07-04,899
2018-07-05,892
2018-07-06,892
2018-07-07,892
2018-07-08,867
2018-07-09,867
2018-07-10,885
2018-07-11,885
2018-07-12,885
2018-07-13,885
2018-07-14,891
2018-07-15,891
2018-07-16,891
2018-07-17,878
2018-07-18,878
2018-07-19,878
2018-07-20,882
2018-07-21,882
2018-07-22,882
2018-07-23,923
2018-07-24,923
2018-07-25,923
2018-07-26,947
2018-07-27,939
2018-07-28,939
2018-07-29,956
2018-07-30,956
