date_obj,Diamond%20necklace price
2017-05-18,2144
2017-05-19,2144
2017-05-20,2144
2017-05-21,2144
2017-05-22,2144
2017-05-23,2179
2017-05-24,2179
2017-05-25,2179
2017-05-26,2179
2017-05-27,2179
2017-05-28,2179
2017-05-29,2179
2017-05-30,2179
2017-05-31,2179
2017-06-01,2179
2017-06-02,2179
2017-06-03,2179
2017-06-04,2179
2017-06-05,2179
2017-06-06,2179
2017-06-07,2179
2017-06-08,2179
2017-06-09,2179
2017-06-10,2179
2017-06-11,2179
2017-06-12,2179
2017-06-13,2179
2017-06-14,2179
2017-06-15,2179
2017-06-16,2142
2017-06-17,2142
2017-06-18,2142
2017-06-19,2142
2017-06-20,2142
2017-06-21,2142
2017-06-22,2142
2017-06-23,2142
2017-06-24,2142
2017-06-25,2142
2017-06-26,2142
2017-06-27,2142
2017-06-28,2142
2017-06-29,2142
2017-06-30,2142
2017-07-01,2142
2017-07-02,2142
2017-07-03,2142
2017-07-04,2142
2017-07-05,2142
2017-07-06,2142
2017-07-07,2142
2017-07-08,2142
2017-07-13,2154
2017-07-14,2154
2017-07-15,2154
2017-07-16,2154
2017-07-17,2154
2017-07-18,2154
2017-07-19,2154
2017-07-20,2154
2017-07-21,2154
2017-07-22,2154
2017-07-23,2154
2017-07-24,2154
2017-07-25,2154
2017-07-26,2154
2017-07-27,2154
2017-07-28,2154
2017-07-29,2154
2017-07-30,2172
2017-07-31,2172
2017-08-01,2172
2017-08-02,2172
2017-08-03,2172
2017-08-04,2172
2017-08-05,2172
2017-08-06,2172
2017-08-09,2172
2017-08-10,2172
2017-08-11,2172
2017-08-12,2172
2017-08-13,2172
2017-08-14,2172
2017-08-15,2172
2017-08-16,2172
2017-08-17,2172
2017-08-18,2172
2017-08-19,2172
2017-08-20,2182
2017-08-21,2182
2017-08-22,2182
2017-08-23,2182
2017-08-24,2182
2017-08-25,2182
2017-08-26,2182
2017-08-27,2182
2017-08-28,2182
2017-08-29,2182
2017-08-30,2182
2017-08-31,2182
2017-09-01,2182
2017-09-03,2182
2017-09-04,2182
2017-09-05,2182
2017-09-06,2182
2017-09-07,2182
2017-09-08,2182
2017-09-09,2182
2017-09-10,2182
2017-09-11,2182
2017-09-12,2182
2017-09-13,2154
2017-09-14,2154
2017-09-15,2154
2017-09-16,2154
2017-09-17,2154
2017-09-18,2154
2017-09-19,2154
2017-09-20,2154
2017-09-21,2154
2017-09-22,2154
2017-09-23,2154
2017-09-24,2154
2017-09-25,2154
2017-09-26,2154
2017-09-27,2154
2017-09-28,2154
2017-09-29,2217
2017-09-30,2217
2017-10-01,2217
2017-10-02,2217
2017-10-03,2217
2017-10-04,2217
2017-10-05,2217
2017-10-06,2217
2017-10-07,2217
2017-10-08,2217
2017-10-09,2217
2017-10-10,2217
2017-10-11,2217
2017-10-12,2217
2017-10-13,2217
2017-10-14,2217
2017-10-15,2217
2017-10-16,2217
2017-10-17,2217
2017-10-18,2163
2017-10-19,2163
2017-10-20,2163
2017-10-21,2163
2017-10-22,2163
2017-10-23,2163
2017-10-24,2163
2017-10-25,2163
2017-10-26,2163
2017-10-27,2163
2017-10-28,2163
2017-10-29,2163
2017-10-30,2163
2017-10-31,2163
2017-11-01,2163
2017-11-02,2163
2017-11-03,2163
2017-11-04,2163
2017-11-05,2163
2017-11-06,2163
2017-11-07,2163
2017-11-08,2163
2017-11-09,2163
2017-11-10,2148
2017-11-11,2148
2017-11-12,2148
2017-11-13,2148
2017-11-14,2148
2017-11-15,2148
2017-11-16,2148
2017-11-17,2148
2017-11-18,2148
2017-11-19,2148
2017-11-20,2148
2017-11-21,2148
2017-11-22,2148
2017-11-23,2148
2017-11-24,2148
2017-11-25,2148
2017-11-26,2148
2017-11-27,2148
2017-11-28,2148
2017-11-29,2148
2017-11-30,2148
2017-12-01,2125
2017-12-02,2125
2017-12-03,2125
2017-12-04,2125
2017-12-05,2125
2017-12-06,2125
2017-12-07,2125
2017-12-08,2125
2017-12-09,2125
2017-12-10,2125
2017-12-11,2125
2017-12-12,2125
2017-12-13,2125
2017-12-14,2125
2017-12-15,2125
2017-12-16,2125
2017-12-17,2125
2017-12-18,2125
2017-12-19,2125
2017-12-20,2125
2017-12-21,2147
2017-12-22,2147
2017-12-23,2147
2017-12-24,2147
2017-12-25,2147
2017-12-26,2147
2017-12-27,2147
2017-12-28,2147
2017-12-29,2147
2017-12-30,2147
2017-12-31,2147
