date_obj,Adamant%20platebody%20(t) price
2018-02-20,12241
2018-02-21,12338
2018-02-22,12338
2018-02-23,12461
2018-02-24,12461
2018-02-25,12426
2018-02-26,12248
2018-02-27,11769
2018-02-28,11769
2018-03-01,11262
2018-03-02,10815
2018-03-03,10345
2018-03-04,10345
2018-03-05,10183
2018-03-06,10067
2018-03-07,9978
2018-03-08,9978
2018-03-09,9895
2018-03-10,10006
2018-03-11,9855
2018-03-12,9863
2018-03-13,9863
2018-03-14,9825
2018-03-15,9781
2018-03-16,9938
2018-03-17,10231
2018-03-18,10512
2018-03-19,10512
2018-03-20,10646
2018-03-21,10646
2018-03-22,10810
2018-03-23,10810
2018-03-24,10601
2018-03-25,10544
2018-03-26,10544
2018-03-27,10483
2018-03-28,10483
2018-03-29,10608
2018-03-30,10555
2018-03-31,10437
2018-04-01,10245
2018-04-02,9990
2018-04-03,9916
2018-04-04,9973
2018-04-05,9973
2018-04-06,9892
2018-04-07,9892
2018-04-08,10005
2018-04-09,9855
2018-04-10,9892
2018-04-11,9868
2018-04-12,9938
2018-04-13,9938
2018-04-14,9851
2018-04-15,9935
2018-04-16,9935
2018-04-17,10068
2018-04-18,10068
2018-04-19,10085
2018-04-20,10050
2018-04-21,9869
2018-04-22,9869
2018-04-23,9822
2018-04-24,9822
2018-04-25,9899
2018-04-26,9899
2018-04-27,9981
2018-04-28,10009
2018-04-29,9989
2018-04-30,9980
2018-05-01,10066
2018-05-02,10066
2018-05-03,9904
2018-05-04,9826
2018-05-05,9899
2018-05-06,9899
2018-05-07,9849
2018-05-08,9849
2018-05-09,9765
2018-05-10,9741
2018-05-11,9749
2018-05-12,9829
2018-05-13,9829
2018-05-14,9842
2018-05-15,9940
2018-05-16,9857
2018-05-17,9927
2018-05-18,9923
2018-05-19,10004
2018-05-20,9986
2018-05-21,10007
2018-05-22,10007
2018-05-23,10028
2018-05-24,10028
2018-05-25,9895
2018-05-26,9831
2018-05-27,9831
2018-05-28,9819
2018-05-29,9948
2018-05-30,9948
2018-05-31,9847
2018-06-01,9805
2018-06-02,9572
2018-06-03,9572
2018-06-04,9589
2018-06-05,9517
2018-06-06,9567
2018-06-07,9567
2018-06-08,9684
2018-06-09,9684
2018-06-10,9656
2018-06-11,9656
2018-06-12,9689
2018-06-13,9706
2018-06-14,9862
2018-06-15,9878
2018-06-16,9936
2018-06-17,9719
2018-06-18,9723
2018-06-19,9717
2018-06-20,9717
2018-06-21,9853
2018-06-22,9831
2018-06-23,9831
2018-06-24,10032
2018-06-25,10196
2018-06-26,10265
2018-06-27,10137
2018-06-28,10334
2018-06-29,10485
2018-06-30,10485
2018-07-01,10517
2018-07-02,10517
2018-07-03,10311
2018-07-04,10311
2018-07-05,10110
2018-07-06,10189
2018-07-07,10189
2018-07-08,10039
2018-07-09,10097
2018-07-10,10109
2018-07-11,10261
2018-07-12,10394
2018-07-13,10305
2018-07-14,10141
2018-07-15,10141
2018-07-16,10102
2018-07-17,10149
2018-07-18,9850
2018-07-19,9855
2018-07-20,9855
2018-07-21,9886
2018-07-22,9797
2018-07-23,9833
2018-07-24,9844
2018-07-25,9960
2018-07-26,10047
2018-07-27,9984
2018-07-28,10235
2018-07-29,10291
2018-07-30,10322
2018-07-31,10189
2018-08-01,10189
2018-08-02,9964
2018-08-03,10000
2018-08-04,10102
2018-08-05,9932
2018-08-06,9779
2018-08-07,9999
2018-08-08,10159
2018-08-09,10159
2018-08-10,10405
2018-08-11,10320
2018-08-12,10541
2018-08-14,11173
2018-08-16,11495
2018-08-17,11654
2018-08-18,11368
2018-08-19,11219
2018-08-20,11351
2018-08-21,11195
2018-08-22,10956
2018-08-23,10827
2018-08-24,10934
2018-08-25,10940
2018-08-26,10827
2018-08-27,10878
2018-08-28,10963
2018-08-29,11077
2018-08-30,11052
2018-08-31,10895
2018-09-01,10628
2018-09-02,10492
2018-09-03,10640
2018-09-04,10539
2018-09-05,10642
2018-09-06,10642
2018-09-07,10512
2018-09-08,10457
2018-09-09,10419
2018-09-10,10312
2018-09-11,10312
2018-09-12,10172
2018-09-13,9881
2018-09-14,9929
2018-09-15,9962
2018-09-16,10051
2018-09-17,10129
2018-09-18,10063
2018-09-19,10078
2018-09-20,10028
2018-09-21,10066
2018-09-22,10107
2018-09-23,10225
2018-09-24,10264
2018-09-25,10241
2018-09-26,10176
2018-09-27,10186
2018-09-28,10215
2018-09-29,10240
2018-09-30,10150
2018-10-01,10044
2018-10-02,10127
2018-10-03,10144
2018-10-04,10196
2018-10-05,10276
2018-10-06,10458
2018-10-07,10456
2018-10-08,10494
2018-10-09,10666
2018-10-10,10507
2018-10-11,10466
2018-10-12,10466
2018-10-13,10426
2018-10-14,10516
2018-10-15,10482
2018-10-16,10489
2018-10-17,10474
2018-10-18,10422
2018-10-19,10412
2018-10-20,10412
2018-10-21,10507
2018-10-22,10322
2018-10-23,10395
2018-10-24,10426
2018-10-25,10625
2018-10-26,10818
2018-10-27,10883
2018-10-28,10800
2018-10-29,10800
2018-10-30,10625
2018-10-31,10571
2018-11-01,10598
2018-11-03,11129
2018-11-04,11487
2018-11-05,12062
2018-11-06,12665
2018-11-07,13261
2018-11-08,13925
2018-11-09,14551
2018-11-10,15264
2018-11-11,15825
2018-11-12,16511
2018-11-13,17337
2018-11-14,18204
2018-11-15,19115
2018-11-16,20071
2018-11-17,21075
2018-11-18,22129
2018-11-19,23236
2018-11-20,24234
2018-11-21,24448
2018-11-22,24493
2018-11-23,24103
2018-11-24,23469
2018-11-25,23164
2018-11-26,24202
2018-11-27,25225
2018-11-28,26487
2018-11-29,27309
2018-12-01,26561
2018-12-02,25544
2018-12-03,24465
2018-12-04,23437
2018-12-05,22817
2018-12-07,21634
2018-12-09,20701
2018-12-10,20153
2018-12-11,19545
2018-12-12,18956
2018-12-13,18579
2018-12-14,18013
2018-12-15,17614
2018-12-16,17324
2018-12-17,17391
2018-12-18,16967
2018-12-19,16568
2018-12-20,16061
2018-12-21,15646
2018-12-22,15467
2018-12-23,15084
2018-12-24,14529
2018-12-25,14050
2018-12-26,13737
2018-12-27,13966
2018-12-28,14178
2018-12-29,14362
2018-12-30,14321
2018-12-31,14511
2019-01-01,14692
2019-01-02,14667
2019-01-03,14781
2019-01-04,14946
2019-01-05,14921
2019-01-06,14796
2019-01-08,14389
2019-01-10,14593
2019-01-11,14557
2019-01-12,14327
2019-01-13,14215
2019-01-14,13995
2019-01-15,13743
2019-01-16,13535
2019-01-17,13207
2019-01-18,13070
2019-01-19,12593
2019-01-20,12546
2019-01-21,12399
2019-01-22,12347
2019-01-23,12089
2019-01-24,11775
2019-01-25,11493
2019-01-26,11323
2019-01-27,11043
2019-01-28,10964
2019-01-29,11023
2019-01-30,10893
2019-01-31,10869
2019-02-01,10664
2019-02-02,10681
2019-02-03,10740
2019-02-04,10714
2019-02-05,11025
2019-02-06,11108
2019-02-07,10884
2019-02-08,10931
