date_obj,Seers%20ring price
2017-11-08,283987
2017-11-09,281387
2017-11-10,283063
2017-11-11,282106
2017-11-12,281453
2017-11-13,278523
2017-11-14,275502
2017-11-15,270533
2017-11-16,267299
2017-11-17,260423
2017-11-18,250311
2017-11-19,239356
2017-11-20,233505
2017-11-21,234208
2017-11-22,242342
2017-11-23,248182
2017-11-24,249777
2017-11-25,253420
2017-11-26,249727
2017-11-27,252528
2017-11-28,252560
2017-11-29,249982
2017-11-30,254601
2017-12-01,262653
2017-12-02,272770
2017-12-03,282597
2017-12-04,285133
2017-12-05,297252
2017-12-06,307305
2017-12-07,302686
2017-12-08,305198
2017-12-09,305068
2017-12-10,315772
2017-12-11,315244
2017-12-12,313052
2017-12-13,310492
2017-12-14,313558
2017-12-15,323872
2017-12-16,338017
2017-12-17,353257
2017-12-18,369731
2017-12-19,386514
2017-12-20,402258
2017-12-21,420805
2017-12-22,438694
2017-12-23,454548
2017-12-24,437837
2017-12-25,423701
2017-12-26,414403
2017-12-27,415241
2017-12-28,432024
2017-12-29,440505
2017-12-30,427264
2017-12-31,414147
2018-01-01,401616
2018-01-02,387972
2018-01-03,375886
2018-01-04,359116
2018-01-05,341871
2018-01-06,325833
2018-01-07,312518
2018-01-08,301293
2018-01-09,298126
2018-01-10,297642
2018-01-11,298865
2018-01-12,303866
2018-01-13,302406
2018-01-14,301528
2018-01-15,300152
2018-01-16,295237
2018-01-17,296499
2018-01-18,298605
2018-01-19,302507
2018-01-20,310853
2018-01-21,317804
2018-01-22,322969
2018-01-23,332813
2018-01-24,342025
2018-01-25,351536
2018-01-26,360226
2018-01-27,377652
2018-01-28,388966
2018-01-29,391458
2018-01-30,393828
2018-02-01,408987
2018-02-02,410193
2018-02-03,398958
2018-02-04,386046
2018-02-05,382606
2018-02-06,375525
2018-02-07,370976
2018-02-08,365189
2018-02-09,363680
2018-02-10,361455
2018-02-11,356582
2018-02-12,341302
2018-02-13,331949
2018-02-14,329465
2018-02-15,336381
2018-02-16,348714
2018-02-17,350233
2018-02-18,351943
2018-02-19,351878
2018-02-20,352606
2018-02-21,353708
2018-02-22,358054
2018-02-23,372328
2018-02-24,382638
2018-02-25,395192
2018-02-26,391614
2018-02-27,392574
2018-02-28,389809
2018-03-01,385264
2018-03-02,385522
2018-03-03,387154
2018-03-04,391397
2018-03-05,389996
2018-03-06,389376
2018-03-07,387425
2018-03-08,401275
2018-03-09,417482
2018-03-10,419422
2018-03-11,424376
2018-03-12,418717
2018-03-13,418002
2018-03-14,420712
2018-03-15,434540
2018-03-16,453362
2018-03-17,473539
2018-03-18,487181
2018-03-19,493075
2018-03-20,485480
2018-03-21,481930
2018-03-23,480610
2018-03-24,496842
2018-03-26,495845
2018-03-27,487881
2018-03-28,473465
2018-03-29,461010
2018-03-30,462173
2018-03-31,465158
2018-04-01,486887
2018-04-02,504515
2018-04-03,510855
2018-04-04,509978
2018-04-05,502799
2018-04-06,496751
2018-04-08,486699
2018-04-09,475213
2018-04-10,469902
2018-04-11,465011
2018-04-12,453726
2018-04-13,445618
2018-04-14,444554
2018-04-15,437876
2018-04-16,437189
2018-04-17,443219
2018-04-18,444249
2018-04-19,453433
2018-04-20,472891
2018-04-21,476619
2018-04-22,476541
2018-04-23,472584
2018-04-24,471168
2018-04-25,471525
2018-04-26,469753
2018-04-27,476575
2018-04-28,483071
2018-04-29,506862
2018-04-30,521047
2018-05-01,525533
2018-05-02,526443
2018-05-03,516087
2018-05-04,511189
2018-05-05,495849
2018-05-06,478772
2018-05-07,463785
2018-05-08,457908
2018-05-09,442303
2018-05-10,437089
2018-05-11,438002
2018-05-12,439872
2018-05-13,439446
2018-05-14,435781
2018-05-15,438565
2018-05-16,436419
2018-05-17,436086
2018-05-18,440119
2018-05-19,441871
2018-05-20,453606
2018-05-21,459224
2018-05-22,470979
2018-05-23,469124
2018-05-24,475270
2018-05-25,473886
2018-05-26,473607
2018-05-27,475217
2018-05-28,475496
2018-05-29,473839
2018-05-30,473509
2018-05-31,479357
2018-06-01,490169
2018-06-02,493975
2018-06-03,491750
2018-06-04,491369
2018-06-05,486259
2018-06-06,472963
2018-06-07,452692
2018-06-08,432758
2018-06-09,412935
2018-06-10,409469
2018-06-11,401522
2018-06-12,393318
2018-06-13,378468
2018-06-14,367745
2018-06-15,366746
2018-06-16,370200
2018-06-17,379239
2018-06-18,388307
2018-06-19,392126
2018-06-20,386076
2018-06-21,383861
2018-06-22,382913
2018-06-23,380628
2018-06-24,373225
2018-06-25,364638
2018-06-26,357479
2018-06-27,356786
2018-06-28,361394
2018-06-29,362135
2018-06-30,374567
2018-07-01,390087
2018-07-02,397367
2018-07-03,404097
2018-07-04,410670
2018-07-05,409825
2018-07-06,412389
2018-07-07,417629
2018-07-08,420493
2018-07-09,422441
2018-07-10,422965
2018-07-11,422977
2018-07-12,425042
2018-07-13,426130
2018-07-14,431533
2018-07-15,432885
2018-07-16,437766
2018-07-17,441611
2018-07-18,440752
2018-07-19,443438
2018-07-20,442884
2018-07-21,440637
2018-07-22,438418
2018-07-23,433387
2018-07-24,424130
2018-07-25,416468
2018-07-26,398975
2018-07-27,380527
2018-07-28,371381
2018-07-29,369926
2018-07-30,368381
2018-07-31,377439
2018-08-01,376896
2018-08-02,380490
2018-08-03,384881
2018-08-04,390866
2018-08-05,397888
2018-08-06,403347
2018-08-07,412676
2018-08-08,413465
2018-08-09,412320
2018-08-10,409842
2018-08-11,412550
2018-08-12,408024
2018-08-14,399518
2018-08-16,390416
2018-08-17,388180
2018-08-18,386604
2018-08-19,389832
2018-08-20,400122
2018-08-21,409804
2018-08-22,423732
2018-08-23,438249
2018-08-24,445257
2018-08-25,441860
