date_obj,Saradomin%20dragonhide%20set price
2016-10-06,374755
2016-10-07,366512
2016-10-08,366512
2016-10-09,366512
2016-10-10,366512
2016-10-11,366512
2016-10-12,366512
2016-10-13,366512
2016-10-14,358694
2016-10-15,358694
2016-10-16,358694
2016-10-17,358694
2016-10-18,358694
2016-10-19,358694
2016-10-20,358694
2016-10-21,368295
2016-10-22,368295
2016-10-23,368295
2016-10-24,368295
2016-10-25,368295
2016-10-26,368295
2016-10-27,383710
2016-10-28,383710
2016-10-29,383710
2016-10-30,383710
2016-10-31,383710
2016-11-01,383710
2016-11-02,396103
2016-11-03,396103
2016-11-04,396103
2016-11-05,396103
2016-11-06,396103
2016-11-07,396103
2016-11-08,413888
2016-11-09,413888
2016-11-10,413888
2016-11-11,413888
2016-11-12,413888
2016-11-13,413888
2016-11-14,413888
2016-12-08,443697
2016-12-09,434772
2016-12-10,434772
2016-12-11,434772
2016-12-12,434772
2016-12-13,434772
2016-12-14,434772
2016-12-15,434772
2016-12-16,440890
2016-12-17,440890
2016-12-18,440890
2016-12-19,440890
2016-12-20,440890
2016-12-21,453590
2016-12-22,453590
2016-12-23,453590
2016-12-24,453590
2016-12-25,453590
2016-12-26,472750
2016-12-27,472750
2016-12-28,472750
2016-12-29,472750
2016-12-30,472750
2016-12-31,494780
2017-01-01,494780
2017-01-02,494780
2017-01-03,494780
2017-01-04,517669
2017-01-05,517669
2017-01-06,517669
2017-01-07,517669
2017-01-08,517669
2017-01-09,528181
2017-01-10,528181
2017-01-11,528181
2017-01-12,528181
2017-01-13,528181
2017-01-14,502559
2017-01-15,502559
2017-01-16,502559
2017-01-17,502559
2017-01-18,489112
2017-01-19,489112
2017-01-20,489112
2017-01-21,489112
2017-01-22,489112
2017-01-27,494257
2017-01-28,478816
2017-01-29,478816
2017-01-30,478816
2017-01-31,478816
2017-02-01,478816
2017-02-02,465645
2017-02-03,465645
2017-02-04,465645
2017-02-05,465645
2017-02-06,465645
2017-02-07,476107
2017-02-08,476107
2017-02-09,476107
2017-02-10,476107
2017-02-11,476107
2017-02-12,459897
2017-02-13,459897
2017-02-14,459897
2017-02-15,459897
2017-02-16,442145
2017-02-18,442145
2017-02-19,442145
2017-02-20,442145
2017-02-21,442145
2017-02-22,424363
2017-02-23,424363
2017-02-24,424363
2017-02-25,424363
2017-02-26,424363
2017-02-27,424363
2017-02-28,417013
2017-03-01,417013
2017-03-02,417013
2017-03-03,417013
2017-03-04,417013
2017-03-05,399546
2017-03-06,399546
2017-03-07,399546
2017-03-08,399546
2017-03-09,399546
2017-03-10,385183
2017-03-11,385183
2017-03-12,385183
2017-03-13,385183
2017-03-14,388720
2017-03-15,388720
2017-03-16,388720
