date_obj,Black%20platelegs price
2017-08-08,1666
2017-08-09,1668
2017-08-10,1634
2017-08-11,1620
2017-08-12,1578
2017-08-13,1549
2017-08-14,1533
2017-08-15,1511
2017-08-16,1510
2017-08-17,1529
2017-08-18,1527
2017-08-19,1481
2017-08-20,1473
2017-08-21,1508
2017-08-22,1469
2017-08-23,1413
2017-08-24,1374
2017-08-25,1309
2017-08-26,1273
2017-08-27,1252
2017-08-28,1225
2017-08-29,1191
2017-08-30,1197
2017-08-31,1257
2017-09-01,1316
2017-09-02,1363
2017-09-03,1370
2017-09-04,1391
2017-09-05,1382
2017-09-06,1364
2017-09-07,1310
2017-09-08,1286
2017-09-09,1255
2017-09-10,1212
2017-09-11,1159
2017-09-12,1215
2017-09-13,1273
2017-09-14,1300
2017-09-15,1300
2017-09-16,1350
2017-09-17,1396
2017-09-18,1415
2017-09-19,1427
2017-09-20,1448
2017-09-22,1434
2017-09-23,1424
2017-09-24,1353
2017-09-25,1285
2017-09-26,1234
2017-09-27,1201
2017-09-28,1157
2017-09-29,1125
2017-09-30,1115
2017-10-01,1144
2017-10-02,1202
2017-10-03,1261
2017-10-04,1302
2017-10-05,1354
2017-10-06,1385
2017-10-07,1406
2017-10-08,1430
2017-10-09,1429
2017-10-10,1400
2017-10-11,1400
2017-10-12,1339
2017-10-13,1335
2017-10-14,1378
2017-10-15,1378
2017-10-16,1368
2017-10-17,1368
2017-10-18,1352
2017-10-19,1341
2017-10-20,1315
2017-10-21,1296
2017-10-22,1315
2017-10-23,1336
2017-10-24,1327
2017-10-25,1332
2017-10-26,1341
2017-10-27,1341
2017-10-28,1341
2017-10-29,1321
2017-10-30,1264
2017-10-31,1272
2017-11-01,1272
2017-11-02,1220
2017-11-03,1164
2017-11-04,1121
2017-11-05,1098
2017-11-06,1149
2017-11-07,1176
2017-11-08,1211
2017-11-09,1271
2017-11-10,1302
2017-11-11,1258
2017-11-12,1258
2017-11-13,1256
2017-11-14,1204
2017-11-15,1150
2017-11-16,1123
2017-11-17,1171
2017-11-18,1228
2017-11-19,1217
2017-11-20,1215
2017-11-21,1239
2017-11-22,1257
2017-11-23,1250
2017-11-24,1265
2017-11-25,1270
2017-11-26,1291
2017-11-27,1291
2017-11-28,1295
2017-11-29,1313
2017-11-30,1341
2017-12-01,1355
2017-12-02,1319
2017-12-03,1305
2017-12-04,1302
2017-12-05,1293
2017-12-06,1261
2017-12-07,1294
2017-12-08,1256
2017-12-09,1224
2017-12-10,1225
2017-12-11,1218
2017-12-12,1218
2017-12-13,1234
2017-12-14,1261
2017-12-15,1287
2017-12-16,1311
2017-12-17,1329
2017-12-18,1390
2017-12-19,1460
2017-12-20,1459
2017-12-21,1433
2017-12-22,1427
2017-12-23,1477
2017-12-24,1521
2017-12-25,1562
2017-12-26,1577
2017-12-27,1588
2017-12-28,1606
2017-12-29,1572
2017-12-30,1517
2017-12-31,1480
2018-01-01,1476
2018-01-02,1424
2018-01-03,1365
2018-01-04,1347
2018-01-05,1296
2018-01-06,1234
2018-01-07,1209
2018-01-08,1186
2018-01-09,1169
2018-01-10,1159
2018-01-11,1110
2018-01-12,1085
2018-01-13,1096
2018-01-14,1102
2018-01-15,1091
2018-01-16,1065
