date_obj,Rock-shell%20chunk price
2018-05-18,12306
2018-05-19,12306
2018-05-20,12306
2018-05-21,12306
2018-05-22,12306
2018-05-23,12306
2018-05-24,12306
2018-05-25,12306
2018-05-26,12306
2018-05-27,12306
2018-05-28,12306
2018-05-29,12306
2018-05-30,12306
2018-05-31,12306
2018-06-01,12306
2018-06-02,12306
2018-06-03,12306
2018-06-04,12306
2018-06-05,12129
2018-06-06,12129
2018-06-07,12129
2018-06-08,12129
2018-06-09,12129
2018-06-10,12129
2018-06-11,12129
2018-06-12,12129
2018-06-13,12129
2018-06-14,12129
2018-06-15,12129
2018-06-16,12129
2018-06-17,12129
2018-06-18,12129
2018-06-19,12129
2018-06-20,12129
2018-06-21,12129
2018-06-22,12129
2018-06-23,12129
2018-06-24,12129
2018-06-25,12129
2018-06-26,11723
2018-06-27,11723
2018-06-28,11723
2018-06-29,11723
2018-06-30,11723
2018-07-01,11723
2018-07-02,11723
2018-07-03,11723
2018-07-04,11723
2018-07-05,11723
2018-07-06,11723
2018-07-07,11723
2018-07-08,11723
2018-07-09,11723
2018-07-10,11723
2018-07-11,11723
2018-07-12,11723
2018-07-13,11723
2018-07-14,11723
2018-07-15,11723
2018-07-16,11723
2018-07-17,11723
2018-07-18,11723
2018-07-19,11723
2018-07-20,11723
2018-07-21,11723
2018-07-22,11723
2018-07-23,11723
2018-07-24,11723
2018-07-25,11723
2018-07-26,11723
2018-07-27,11723
2018-07-28,11723
2018-07-29,11723
2018-07-30,11560
2018-07-31,11560
2018-08-01,11560
2018-08-02,11560
2018-08-03,11560
2018-08-04,11560
2018-08-05,11560
2018-08-06,11560
2018-08-07,11560
2018-08-08,11560
2018-08-09,11560
2018-08-10,11560
2018-08-11,11560
2018-08-12,11560
2018-08-14,11471
2018-08-16,11471
2018-08-17,11471
2018-08-18,11471
2018-08-19,11471
2018-08-20,11471
2018-08-21,11471
2018-08-22,11471
2018-08-23,11471
2018-08-24,11471
2018-08-25,11471
2018-08-26,11471
2018-08-27,11471
2018-08-28,11471
2018-08-29,11471
2018-08-30,11471
2018-08-31,11918
2018-09-01,11918
2018-09-02,11918
2018-09-03,11918
2018-09-04,11918
2018-09-05,11918
2018-09-06,11918
2018-09-07,11918
2018-09-08,11918
2018-09-09,11918
2018-09-10,11918
2018-09-11,11918
2018-09-12,11918
2018-09-13,11918
2018-09-14,11918
2018-09-15,11918
2018-09-16,11918
2018-09-17,11495
2018-09-18,11495
2018-09-19,11495
2018-09-20,11495
2018-09-21,11495
2018-09-22,11495
2018-09-23,11495
2018-09-24,11495
2018-09-25,11495
2018-09-26,11495
2018-09-27,11495
2018-09-28,11495
2018-09-29,11495
2018-09-30,11495
2018-10-02,11495
2018-10-03,11495
2018-10-04,11350
2018-10-05,11350
2018-10-06,11350
2018-10-07,11350
2018-10-08,11350
2018-10-09,11350
2018-10-10,11350
2018-10-11,11350
2018-10-12,11350
2018-10-13,11350
2018-10-14,11350
