date_obj,Rune%20kiteshield price
2019-01-23,32208
2019-01-24,32197
2019-01-25,32187
2019-01-26,32194
2019-01-27,32180
2019-01-29,32206
2019-01-30,32211
2019-01-31,32222
2019-02-01,32211
2019-02-02,32215
2019-02-03,32220
2019-02-04,32195
2019-02-05,32204
2019-02-06,32227
2019-02-07,32222
2019-02-08,32214
2019-02-09,32223
2019-02-10,32230
2019-02-11,32216
2019-02-12,32232
2019-02-13,32212
2019-02-14,32222
2019-02-15,32213
2019-02-16,32204
2019-02-17,32232
2019-02-18,32226
2019-02-19,32233
2019-02-20,32181
2019-02-21,32217
2019-02-22,32238
2019-02-23,32249
2019-02-24,32256
2019-02-25,32241
2019-02-26,32216
2019-02-27,32238
2019-02-28,32229
2019-03-01,32251
2019-03-02,32236
2019-03-03,32243
2019-03-04,32256
2019-03-05,32270
2019-03-06,32269
2019-03-07,32266
2019-03-08,32257
2019-03-09,32256
2019-03-10,32241
2019-03-11,32239
2019-03-12,32220
2019-03-13,32217
2019-03-14,32210
2019-03-15,32160
2019-03-16,32188
2019-03-17,32191
2019-03-18,32169
2019-03-19,32203
2019-03-20,32227
2019-03-21,32224
2019-03-22,32220
2019-03-23,32195
2019-03-24,32193
2019-03-25,32167
2019-03-26,32202
2019-03-27,32208
2019-03-28,32119
2019-03-29,32167
