date_obj,Black%20cape price
2017-12-30,350
2017-12-31,350
2018-01-01,352
2018-01-02,352
2018-01-03,347
2018-01-04,347
2018-01-05,336
2018-01-06,328
2018-01-07,328
2018-01-08,318
2018-01-09,318
2018-01-10,314
2018-01-11,314
2018-01-12,308
2018-01-13,308
2018-01-14,307
2018-01-15,307
2018-01-16,306
2018-01-17,306
2018-01-18,297
2018-01-19,297
2018-01-20,287
2018-01-21,287
2018-01-22,276
2018-01-23,276
2018-01-24,262
2018-01-25,262
2018-01-26,268
2018-01-27,268
2018-01-28,280
2018-01-29,282
2018-01-30,282
2018-01-31,281
2018-02-01,281
2018-02-02,280
2018-02-03,278
2018-02-04,278
2018-02-05,285
2018-02-06,291
2018-02-07,303
2018-02-08,303
2018-02-09,316
2018-02-10,316
2018-02-11,330
2018-02-12,345
2018-02-13,345
2018-02-14,352
2018-02-15,352
2018-02-16,360
2018-02-17,359
2018-02-18,359
2018-02-19,357
2018-02-20,357
2018-02-21,370
2018-02-22,370
2018-02-23,381
2018-02-24,381
2018-02-25,389
2018-02-26,389
2018-02-27,380
2018-02-28,380
2018-03-01,365
2018-03-02,362
2018-03-03,368
2018-03-04,368
2018-03-05,368
2018-03-06,368
2018-03-07,386
2018-03-08,386
2018-03-09,406
2018-03-10,406
2018-03-11,417
2018-03-12,417
2018-03-13,415
2018-03-14,415
2018-03-15,403
2018-03-16,403
2018-03-17,389
2018-03-18,389
2018-03-19,371
2018-03-20,364
2018-03-21,364
2018-03-22,361
2018-03-23,361
2018-03-24,353
2018-03-25,348
2018-03-26,348
2018-03-27,343
2018-03-28,343
2018-03-29,336
2018-03-30,336
2018-03-31,333
2018-04-01,333
2018-04-02,334
2018-04-03,334
2018-04-04,345
2018-04-05,345
2018-04-06,358
2018-04-07,358
2018-04-08,371
2018-04-09,371
2018-04-10,384
2018-04-11,384
2018-04-12,387
2018-04-13,387
2018-04-14,379
2018-04-15,370
2018-04-16,370
2018-04-17,364
2018-04-18,364
2018-04-19,366
2018-04-20,366
2018-04-21,360
2018-04-22,360
2018-04-23,350
2018-04-24,350
2018-04-25,348
2018-04-26,348
2018-04-27,347
2018-04-28,347
2018-04-29,338
2018-04-30,338
2018-05-01,322
2018-05-02,322
2018-05-03,323
2018-05-04,323
2018-05-05,326
2018-05-06,326
2018-05-07,323
2018-05-08,323
2018-05-09,324
2018-05-10,324
2018-05-11,325
2018-05-12,323
2018-05-13,323
2018-05-14,330
2018-05-15,330
2018-05-16,344
2018-05-17,344
