date_obj,Steam%20staff%20upgrade%20kit price
2018-02-14,60377
2018-02-15,60377
2018-02-16,60377
2018-02-17,63108
2018-02-18,63108
2018-02-19,63108
2018-02-20,63108
2018-02-21,63108
2018-02-22,63108
2018-02-23,65875
2018-02-24,65875
2018-02-25,65875
2018-02-26,65875
2018-02-27,65875
2018-02-28,65875
2018-03-01,66631
2018-03-02,66631
2018-03-03,66631
2018-03-04,66631
2018-03-05,66631
2018-03-06,66631
2018-03-07,64886
2018-03-08,64886
2018-03-09,64886
2018-03-10,64886
2018-03-11,64886
2018-03-12,64886
2018-03-13,64154
2018-03-14,64154
2018-03-15,64154
2018-03-16,64154
2018-03-17,64154
2018-03-18,64154
2018-03-19,64154
2018-03-20,66951
2018-03-21,66951
2018-03-23,66951
2018-03-24,66951
2018-03-26,66951
2018-03-27,68388
2018-03-28,68388
2018-03-29,68388
2018-03-30,68388
2018-03-31,68388
2018-04-01,68388
2018-04-02,68388
2018-04-03,68588
2018-04-04,68588
2018-04-05,68588
2018-04-06,68588
2018-04-08,68588
2018-04-09,68588
2018-04-10,69366
2018-04-11,69366
2018-04-12,69366
2018-04-13,69366
2018-04-14,69366
2018-04-16,69366
2018-04-17,70095
2018-04-18,70095
2018-04-19,70095
2018-04-20,70095
2018-04-21,70095
2018-04-22,70095
2018-04-23,70095
2018-04-24,70095
2018-04-25,73018
2018-04-26,73018
2018-04-27,73018
2018-04-28,73018
2018-04-29,73018
2018-04-30,73018
2018-05-01,73018
2018-05-02,75011
2018-05-03,75011
2018-05-04,75011
2018-05-05,75011
2018-05-06,75011
2018-05-07,75011
2018-05-08,78366
2018-05-09,78366
2018-05-10,78366
2018-05-11,78366
2018-05-12,78366
2018-05-13,78366
2018-05-14,78759
2018-05-15,78759
2018-05-16,78759
2018-05-17,78759
2018-05-18,78759
2018-05-19,78759
2018-05-20,78759
2018-05-21,74821
2018-05-22,74821
2018-05-23,74821
2018-05-24,74821
2018-05-25,74821
2018-05-26,74821
2018-05-27,74821
2018-05-28,73979
2018-05-29,73979
2018-05-30,73979
2018-05-31,73979
2018-06-01,73979
2018-06-02,73979
2018-06-03,73979
2018-06-04,74085
2018-06-05,74085
2018-06-06,74085
2018-06-07,74085
2018-06-08,74085
2018-06-09,74085
2018-06-10,74085
2018-06-11,74210
2018-06-12,74210
2018-06-13,74210
2018-06-14,74210
2018-06-15,74210
2018-06-16,74210
2018-06-17,74210
2018-06-18,73039
2018-06-19,73039
2018-06-20,73039
2018-06-21,73039
2018-06-22,73039
2018-06-23,73039
2018-06-24,73039
2018-06-25,71069
2018-06-26,71069
2018-06-27,71069
2018-06-28,71069
2018-06-29,71069
2018-06-30,71069
2018-07-01,71069
2018-07-02,69678
2018-07-03,69678
2018-07-04,69678
2018-07-05,69678
2018-07-06,69678
2018-07-07,69678
2018-07-08,69678
2018-07-09,68316
2018-07-10,68316
2018-07-11,68316
2018-07-12,68316
2018-07-13,68316
2018-07-14,68316
2018-07-15,68316
2018-07-16,68316
2018-07-17,68316
2018-07-18,69355
2018-07-19,69355
2018-07-20,69355
2018-07-21,69355
2018-07-22,69355
2018-07-23,69355
2018-07-24,69594
2018-07-25,69594
2018-07-26,69594
