date_obj,Pumpkin price
2019-02-16,4433
2019-02-17,4433
2019-02-18,4313
2019-02-19,4313
2019-02-20,4313
2019-02-21,4335
2019-02-22,4335
2019-02-23,4335
2019-02-24,4489
2019-02-25,4489
2019-02-26,4685
2019-02-27,4685
2019-02-28,4685
2019-03-01,4685
2019-03-02,4844
2019-03-03,4844
2019-03-04,4885
2019-03-05,4885
2019-03-06,5048
2019-03-07,5048
2019-03-08,5048
2019-03-09,4810
2019-03-10,4810
2019-03-11,4770
2019-03-12,4770
2019-03-13,4770
2019-03-14,4981
2019-03-15,4981
2019-03-16,4981
2019-03-17,5138
2019-03-18,5138
2019-03-19,5138
2019-03-20,5328
2019-03-21,5328
2019-03-22,5328
2019-03-23,5511
2019-03-24,5511
2019-03-25,5511
2019-03-26,5747
2019-03-27,5747
2019-03-28,5747
2019-03-29,5916
2019-03-30,5916
2019-03-31,5916
2019-04-01,6115
2019-04-02,6115
2019-04-03,6115
