date_obj,Iron%20hasta price
2019-03-13,23
2019-03-14,21
2019-03-15,21
2019-03-16,21
2019-03-17,20
2019-03-18,20
2019-03-19,20
2019-03-20,20
2019-03-21,20
2019-03-22,19
2019-03-23,19
2019-03-24,19
2019-03-25,19
2019-03-26,19
2019-03-27,19
2019-03-28,19
2019-03-29,19
2019-03-30,19
2019-03-31,19
2019-04-01,19
2019-04-02,19
2019-04-03,19
2019-04-04,18
2019-04-05,18
2019-04-06,18
2019-04-07,18
2019-04-08,18
2019-04-09,18
2019-04-10,18
2019-04-11,18
2019-04-12,18
2019-04-13,18
2019-04-14,18
2019-04-15,18
2019-04-16,18
2019-04-17,18
2019-04-18,18
2019-04-19,18
2019-04-20,18
2019-04-21,17
2019-04-22,17
2019-04-23,17
2019-04-24,17
2019-04-25,17
2019-04-26,17
2019-04-27,17
2019-04-28,17
2019-04-29,17
2019-04-30,17
2019-05-01,17
2019-05-02,17
2019-05-03,17
2019-05-04,16
2019-05-05,16
2019-05-06,16
