date_obj,Rune%20cane price
2017-10-27,8639
2017-10-28,8639
2017-10-29,8538
2017-10-30,8538
2017-10-31,8523
2017-11-01,8523
2017-11-02,8274
2017-11-03,8274
2017-11-04,8366
2017-11-05,8366
2017-11-06,8374
2017-11-07,8374
2017-11-08,8384
2017-11-09,8402
2017-11-10,8402
2017-11-11,8378
2017-11-12,8378
2017-11-13,8441
2017-11-14,8441
2017-11-15,8477
2017-11-16,8477
2017-11-17,8307
2017-11-18,8307
2017-11-19,8331
2017-11-20,8331
2017-11-21,8383
2017-11-22,8383
2017-11-23,8431
2017-11-24,8431
2017-11-25,8416
2017-11-26,8416
2017-11-27,8444
2017-11-28,8444
2017-11-29,8527
2017-11-30,8527
2017-12-01,8622
2017-12-02,8622
2017-12-03,8458
2017-12-04,8458
2017-12-05,8369
2017-12-06,8369
2017-12-07,8484
2017-12-08,8484
2017-12-09,8508
2017-12-10,8452
2017-12-11,8420
2017-12-12,8420
2017-12-13,8362
2017-12-14,8362
2017-12-15,8328
2017-12-16,8328
2017-12-17,8400
2017-12-18,8489
2017-12-19,8489
2017-12-20,8587
2017-12-21,8587
2017-12-22,8807
2017-12-23,8807
2017-12-24,9158
2017-12-25,9158
2017-12-26,9451
2017-12-27,9451
2017-12-28,9690
2017-12-29,9690
2017-12-30,9711
2017-12-31,9711
2018-01-01,9610
2018-01-02,9610
2018-01-03,9334
2018-01-04,9334
2018-01-05,9177
2018-01-06,9066
2018-01-07,9066
2018-01-08,8779
2018-01-09,8779
2018-01-10,8591
2018-01-11,8591
2018-01-12,8272
2018-01-13,8349
2018-01-14,8451
2018-01-15,8526
2018-01-16,8389
2018-01-17,8308
2018-01-18,8357
2018-01-19,8357
2018-01-20,8324
2018-01-21,8324
2018-01-22,8395
2018-01-23,8428
2018-01-24,8346
2018-01-25,8346
2018-01-26,8318
2018-01-27,8318
2018-01-28,8302
2018-01-29,8379
2018-01-30,8379
2018-01-31,8348
2018-02-01,8348
2018-02-02,8339
2018-02-03,8503
2018-02-04,8503
2018-02-05,8258
2018-02-06,8512
2018-02-07,8595
2018-02-08,8595
2018-02-09,8614
2018-02-10,8614
2018-02-11,8369
2018-02-12,8369
2018-02-13,8467
2018-02-14,8430
2018-02-15,8430
2018-02-16,8279
2018-02-17,8302
2018-02-18,8302
2018-02-19,8341
2018-02-20,8341
2018-02-21,8417
2018-02-22,8417
2018-02-23,8449
2018-02-24,8449
2018-02-25,8423
2018-02-26,8423
2018-02-27,8418
2018-02-28,8418
2018-03-01,8340
2018-03-02,8380
2018-03-03,8342
2018-03-04,8342
2018-03-05,8325
2018-03-06,8381
2018-03-07,8381
2018-03-08,8314
2018-03-09,8314
2018-03-10,8346
2018-03-11,8302
2018-03-12,8302
2018-03-13,8323
2018-03-14,8323
2018-03-15,8475
2018-03-16,8475
2018-03-17,8480
2018-03-18,8480
2018-03-19,8506
2018-03-20,8537
2018-03-21,8537
2018-03-23,8538
2018-03-24,8358
2018-03-26,8418
2018-03-27,8493
2018-03-29,8613
2018-03-30,8613
2018-03-31,8888
2018-04-01,8888
2018-04-02,8997
2018-04-03,8997
2018-04-04,9099
2018-04-05,9099
2018-04-06,8834
2018-04-08,8789
2018-04-09,8789
2018-04-10,8722
2018-04-11,8722
2018-04-12,8550
2018-04-13,8550
2018-04-14,8451
2018-04-15,8260
2018-04-16,8260
2018-04-17,8310
2018-04-18,8310
2018-04-19,8361
2018-04-20,8361
2018-04-21,8402
2018-04-22,8402
2018-04-23,8319
2018-04-24,8319
2018-04-25,8370
2018-04-26,8370
2018-04-27,8301
2018-04-28,8301
2018-04-29,8575
2018-04-30,8575
2018-05-01,8442
2018-05-02,8442
2018-05-03,8599
2018-05-04,8599
2018-05-05,8733
2018-05-06,8733
2018-05-07,8762
2018-05-08,8762
2018-05-09,8628
2018-05-10,8628
2018-05-11,8537
2018-05-12,8537
