date_obj,Machete price
2017-11-03,284
2017-11-04,277
2017-11-05,277
2017-11-06,277
2017-11-07,269
2017-11-08,269
2017-11-09,273
2017-11-10,273
2017-11-11,273
2017-11-12,266
2017-11-13,266
2017-11-14,266
2017-11-15,252
2017-11-16,252
2017-11-17,239
2017-11-18,239
2017-11-19,235
2017-11-20,235
2017-11-21,236
2017-11-22,236
2017-11-23,236
2017-11-24,239
2017-11-25,239
2017-11-26,235
2017-11-27,235
2017-11-28,235
2017-11-29,236
2017-11-30,236
2017-12-01,237
2017-12-02,237
2017-12-03,237
2017-12-04,238
2017-12-05,238
2017-12-06,230
2017-12-07,230
2017-12-08,230
2017-12-09,231
2017-12-10,231
2017-12-11,232
2017-12-12,232
2017-12-14,235
2017-12-15,235
2017-12-16,238
2017-12-17,238
2017-12-18,236
2017-12-19,236
2017-12-20,236
2017-12-21,235
2017-12-22,235
2017-12-23,236
2017-12-24,236
2017-12-25,236
2017-12-26,239
2017-12-27,239
2017-12-28,242
2017-12-29,242
2017-12-30,246
2017-12-31,246
2018-01-01,248
2018-01-02,248
2018-01-03,254
2018-01-04,263
2018-01-05,269
2018-01-06,275
2018-01-07,279
2018-01-08,287
2018-01-09,296
2018-01-10,296
2018-01-11,303
2018-01-12,303
2018-01-13,313
2018-01-14,313
2018-01-15,322
2018-01-16,322
2018-01-17,316
2018-01-18,316
2018-01-19,301
2018-01-20,301
2018-01-21,288
2018-01-22,288
2018-01-23,292
2018-01-25,296
2018-01-26,294
2018-01-27,286
2018-01-28,289
2018-01-29,281
2018-01-31,252
2018-02-01,252
2018-02-02,258
2018-02-03,263
2018-02-04,266
2018-02-05,266
2018-02-06,269
2018-02-07,265
2018-02-08,265
2018-02-09,251
2018-02-10,251
2018-02-11,238
2018-02-12,226
2018-02-13,224
2018-02-14,226
2018-02-15,226
2018-02-16,226
2018-02-17,235
2018-02-18,241
2018-02-19,245
2018-02-20,245
2018-02-21,255
2018-02-22,255
2018-02-23,261
2018-02-24,261
2018-02-25,267
2018-02-26,271
2018-02-27,275
2018-02-28,275
2018-03-01,271
2018-03-02,267
2018-03-03,266
2018-03-04,266
2018-03-05,252
2018-03-06,243
2018-03-07,237
2018-03-08,240
2018-03-09,246
2018-03-10,252
2018-03-11,257
2018-03-12,247
2018-03-13,235
2018-03-14,224
2018-03-15,224
2018-03-16,224
2018-03-17,230
2018-03-18,231
2018-03-19,231
2018-03-20,226
2018-03-21,226
2018-03-23,225
2018-03-24,226
2018-03-26,229
2018-03-27,231
2018-03-28,231
2018-03-29,236
2018-03-30,236
2018-03-31,243
2018-04-01,246
2018-04-02,256
2018-04-03,266
2018-04-04,265
2018-04-05,265
2018-04-06,271
2018-04-07,271
2018-04-08,284
2018-04-09,287
2018-04-10,287
2018-04-11,295
2018-04-12,286
2018-04-13,286
2018-04-14,294
2018-04-15,308
2018-04-16,308
2018-04-17,320
2018-04-18,320
