date_obj,Adamant%20gold-trimmed%20set%20(sk) price
2018-08-12,89628
2018-08-14,89628
2018-08-16,92356
2018-08-17,92356
2018-08-18,92356
2018-08-19,92356
2018-08-20,95037
2018-08-21,95037
2018-08-22,95037
2018-08-23,95037
2018-08-24,95037
2018-08-25,97322
2018-08-26,97322
2018-08-27,97322
2018-08-28,97322
2018-08-29,97619
2018-08-30,97619
2018-08-31,97619
2018-09-01,97619
2018-09-02,97619
2018-09-03,99879
2018-09-04,99879
2018-09-05,99879
2018-09-06,99879
2018-09-07,100353
2018-09-08,100353
2018-09-09,100353
2018-09-10,100353
2018-09-11,102643
2018-09-12,102643
2018-09-13,102643
2018-09-14,104888
2018-09-15,104888
2018-09-16,104888
2018-09-17,104888
2018-09-18,104815
2018-09-19,104815
2018-09-20,104815
2018-09-21,104815
2018-09-22,105696
2018-09-23,105696
2018-09-24,105696
2018-09-25,105696
2018-09-26,108682
2018-09-27,108682
2018-09-28,108682
2018-09-29,108682
2018-09-30,111955
2018-10-01,111955
2018-10-02,111955
2018-10-03,111955
2018-10-04,113298
2018-10-05,113298
2018-10-06,113298
2018-10-07,113298
2018-10-08,113298
2018-10-09,117455
2018-10-10,117455
2018-10-11,117455
2018-10-12,117455
2018-10-13,117455
2018-10-14,121058
2018-10-15,121058
2018-10-16,121058
2018-10-17,121058
2018-10-18,121058
2018-10-19,125164
2018-10-20,125164
2018-10-21,125164
2018-10-22,125164
2018-10-23,125164
2018-10-24,125164
2018-10-25,125923
2018-10-26,125923
2018-10-27,125923
2018-10-28,125923
2018-10-29,125923
2018-10-30,120482
2018-10-31,120482
2018-11-01,116009
2018-11-03,117120
2018-11-04,117120
2018-11-05,121746
2018-11-06,127009
2018-11-07,132268
2018-11-08,137036
2018-11-09,137036
2018-11-10,141885
2018-11-11,141885
2018-11-12,147710
2018-11-13,152895
2018-11-14,152895
2018-11-15,158798
2018-11-16,164818
2018-11-17,164818
2018-11-18,170803
2018-11-19,170803
2018-11-20,177236
2018-11-21,177236
2018-11-22,183524
2018-11-23,183524
2018-11-24,190684
2018-11-25,190684
2018-11-26,197634
2018-11-27,197634
2018-11-28,204876
2018-11-29,204876
2018-12-01,211958
2018-12-02,211958
2018-12-03,211958
2018-12-04,219780
2018-12-05,219780
2018-12-07,226875
2018-12-09,226875
2018-12-10,234821
2018-12-11,234821
2018-12-12,234821
2018-12-13,234821
2018-12-14,238196
2018-12-15,238196
2018-12-16,238196
2018-12-17,238196
2018-12-18,229675
2018-12-19,229675
2018-12-20,229675
2018-12-21,220100
2018-12-22,220100
2018-12-23,210382
2018-12-24,210382
2018-12-25,210382
2018-12-26,202255
2018-12-27,202255
2018-12-28,193841
2018-12-29,193841
2018-12-30,187856
2018-12-31,187856
2019-01-01,187856
2019-01-02,182911
2019-01-03,182911
2019-01-04,182911
2019-01-05,183585
2019-01-06,183585
2019-01-08,176432
2019-01-10,176432
2019-01-11,176432
2019-01-12,172311
2019-01-13,172311
2019-01-14,172311
2019-01-15,164869
2019-01-16,164869
2019-01-17,164869
2019-01-18,157483
2019-01-19,157483
2019-01-20,157483
2019-01-21,150452
2019-01-22,150452
2019-01-23,150452
2019-01-24,143093
2019-01-25,143093
2019-01-26,143093
2019-01-27,137401
2019-01-28,137401
2019-01-29,131777
2019-01-30,131777
2019-01-31,131777
2019-02-01,126434
2019-02-02,126434
2019-02-03,126434
2019-02-04,121142
2019-02-05,121142
2019-02-06,121142
2019-02-07,117785
2019-02-08,117785
2019-02-09,117785
2019-02-10,117785
2019-02-11,117603
2019-02-12,117603
2019-02-13,117603
2019-02-14,117603
2019-02-15,115807
2019-02-16,115807
2019-02-17,115807
2019-02-18,111910
2019-02-19,111910
2019-02-20,111910
2019-02-21,106503
2019-02-22,106503
2019-02-23,106503
2019-02-24,103116
2019-02-25,103116
2019-02-26,103116
2019-02-27,103116
2019-02-28,103116
2019-03-01,103116
2019-03-02,99387
2019-03-03,99387
2019-03-04,99387
