date_obj,Mithril%20kiteshield%20(g) price
2017-10-20,8179
2017-10-21,8181
2017-10-22,8253
2017-10-23,8442
2017-10-24,8469
2017-10-25,8202
2017-10-26,8019
2017-10-27,7912
2017-10-28,7912
2017-10-29,8247
2017-10-30,8454
2017-10-31,8809
2017-11-01,8809
2017-11-02,9061
2017-11-03,9113
2017-11-04,9327
2017-11-05,9415
2017-11-06,9364
2017-11-07,9320
2017-11-08,9285
2017-11-09,9047
2017-11-10,9047
2017-11-11,8708
2017-11-12,8392
2017-11-13,8107
2017-11-14,8132
2017-11-15,8082
2017-11-16,7711
2017-11-17,7454
2017-11-18,7454
2017-11-19,7087
2017-11-20,6945
2017-11-21,7189
2017-11-22,7314
2017-11-23,7678
2017-11-24,7878
2017-11-25,7631
2017-11-26,7621
2017-11-27,7621
2017-11-28,7789
2017-11-29,7728
2017-11-30,7728
2017-12-01,7940
2017-12-02,7666
2017-12-03,7639
2017-12-04,7545
2017-12-05,7666
2017-12-06,7729
2017-12-07,7770
2017-12-08,7770
2017-12-09,7957
2017-12-10,8176
2017-12-11,8486
2017-12-12,8724
2017-12-14,8750
2017-12-15,8712
2017-12-17,9054
2017-12-18,9229
2017-12-19,9173
2017-12-20,9202
2017-12-21,9546
2017-12-22,9990
2017-12-23,10490
2017-12-24,10944
2017-12-25,11488
2017-12-26,11908
2017-12-27,12320
2017-12-28,12756
2017-12-29,13136
2017-12-30,13623
2017-12-31,14231
2018-01-01,14268
2018-01-02,14216
2018-01-03,13902
2018-01-04,13266
2018-01-05,12611
2018-01-06,11981
2018-01-07,11424
2018-01-08,10852
2018-01-09,10390
2018-01-10,10162
2018-01-11,10137
2018-01-12,10596
2018-01-13,10917
2018-01-14,11457
2018-01-15,11655
2018-01-16,11174
2018-01-17,11346
2018-01-18,11616
2018-01-19,11616
2018-01-20,11666
2018-01-21,11387
2018-01-22,10963
2018-01-23,10676
2018-01-25,10388
2018-01-26,10647
2018-01-27,10823
2018-01-28,10896
2018-01-29,11258
2018-01-31,11573
2018-02-01,11573
2018-02-02,11641
2018-02-03,11596
2018-02-04,11561
2018-02-05,11208
2018-02-06,10758
2018-02-07,11102
2018-02-08,11102
2018-02-09,11296
2018-02-10,11506
2018-02-11,11566
2018-02-12,11406
2018-02-13,11324
