date_obj,Dareeyak%20teleport%20(tablet) price
2017-12-27,2116
2017-12-28,2116
2017-12-29,2157
2017-12-30,2157
2017-12-31,2223
2018-01-01,2223
2018-01-02,2226
2018-01-03,2226
2018-01-04,2226
2018-01-05,2218
2018-01-06,2218
2018-01-07,2191
2018-01-08,2191
2018-01-09,2191
2018-01-10,2215
2018-01-11,2215
2018-01-12,2215
2018-01-13,2166
2018-01-14,2166
2018-01-15,2166
2018-01-16,2102
2018-01-17,2102
2018-01-18,2028
2018-01-19,2028
2018-01-20,2028
2018-01-21,1996
2018-01-22,1996
2018-01-23,1991
2018-01-24,1991
2018-01-25,2005
2018-01-26,2005
2018-01-27,1998
2018-01-28,1998
2018-01-29,1988
2018-01-30,1988
2018-01-31,2024
2018-02-01,2024
2018-02-02,2034
2018-02-03,2064
2018-02-04,2064
2018-02-05,2074
2018-02-06,2074
2018-02-07,2099
2018-02-08,2099
2018-02-09,2049
2018-02-10,2049
2018-02-11,2059
2018-02-12,2059
2018-02-13,2134
2018-02-14,2134
2018-02-15,2196
2018-02-16,2196
2018-02-17,2180
2018-02-18,2180
2018-02-19,2179
2018-02-20,2179
2018-02-21,2180
2018-02-22,2180
2018-02-23,2216
2018-02-24,2216
2018-02-25,2190
2018-02-26,2190
2018-02-27,2172
2018-02-28,2172
2018-03-01,2172
2018-03-02,2179
2018-03-03,2179
2018-03-04,2186
2018-03-05,2186
2018-03-06,2204
2018-03-07,2204
2018-03-08,2177
2018-03-09,2177
2018-03-10,2084
2018-03-11,2084
2018-03-12,2060
2018-03-13,2060
2018-03-14,2081
2018-03-15,2081
2018-03-16,2147
2018-03-17,2147
2018-03-18,2135
2018-03-19,2135
2018-03-20,2107
2018-03-21,2107
2018-03-23,2093
2018-03-24,2093
2018-03-25,2131
2018-03-26,2131
2018-03-27,2145
2018-03-28,2145
2018-03-29,2153
2018-03-30,2153
2018-03-31,2193
2018-04-01,2193
2018-04-02,2215
2018-04-03,2215
2018-04-04,2231
2018-04-05,2231
2018-04-06,2265
2018-04-07,2265
2018-04-08,2269
2018-04-09,2269
2018-04-10,2280
2018-04-11,2280
2018-04-12,2329
2018-04-13,2329
2018-04-14,2329
2018-04-15,2277
2018-04-16,2277
2018-04-17,2271
2018-04-18,2271
2018-04-19,2271
2018-04-20,2278
2018-04-21,2278
2018-04-22,2323
2018-04-23,2323
2018-04-24,2341
2018-04-25,2341
2018-04-26,2341
2018-04-27,2398
2018-04-28,2398
2018-04-29,2441
2018-04-30,2441
2018-05-01,2488
2018-05-03,2488
2018-05-04,2531
2018-05-05,2646
2018-05-07,2646
2018-05-08,2569
2018-05-09,2569
2018-05-10,2440
2018-05-11,2440
2018-05-12,2367
2018-05-13,2367
2018-05-14,2259
2018-05-15,2259
2018-05-16,2255
2018-05-17,2255
2018-05-18,2330
2018-05-19,2330
2018-05-20,2376
2018-05-21,2376
2018-05-22,2389
2018-05-23,2389
2018-05-24,2480
2018-05-25,2480
2018-05-26,2570
2018-05-27,2570
2018-05-28,2485
2018-05-29,2485
2018-05-30,2368
2018-05-31,2368
2018-06-01,2291
2018-06-02,2238
2018-06-03,2238
2018-06-04,2238
2018-06-05,2213
2018-06-06,2213
2018-06-07,2246
2018-06-08,2246
2018-06-09,2244
2018-06-10,2244
2018-06-11,2266
2018-06-12,2266
2018-06-13,2211
2018-06-14,2211
2018-06-15,2224
2018-06-16,2224
2018-06-17,2262
2018-06-18,2262
2018-06-19,2375
2018-06-20,2375
2018-06-21,2375
2018-06-22,2371
2018-06-23,2371
2018-06-24,2339
2018-06-25,2339
2018-06-26,2264
2018-06-27,2264
2018-06-28,2229
2018-06-29,2229
2018-06-30,2222
2018-07-01,2222
2018-07-02,2231
2018-07-03,2231
2018-07-04,2233
2018-07-05,2233
2018-07-06,2147
2018-07-07,2147
2018-07-08,2147
2018-07-09,2096
2018-07-10,2096
2018-07-11,2069
2018-07-12,2069
2018-07-13,2121
2018-07-14,2227
2018-07-15,2227
2018-07-16,2334
2018-07-17,2433
2018-07-18,2433
2018-07-19,2428
2018-07-20,2428
2018-07-21,2325
2018-07-22,2325
2018-07-23,2295
2018-07-24,2295
2018-07-25,2293
2018-07-26,2293
2018-07-27,2326
2018-07-28,2326
2018-07-29,2332
2018-07-30,2332
2018-07-31,2367
2018-08-01,2367
2018-08-02,2369
2018-08-03,2369
2018-08-04,2424
2018-08-05,2424
2018-08-06,2492
2018-08-07,2492
2018-08-08,2549
2018-08-09,2549
2018-08-10,2540
2018-08-11,2540
2018-08-12,2560
2018-08-14,2678
2018-08-16,2678
2018-08-17,2667
2018-08-18,2667
2018-08-19,2676
2018-08-20,2676
2018-08-21,2746
2018-08-22,2746
2018-08-23,2853
2018-08-24,2853
2018-08-25,2903
2018-08-26,2903
2018-08-27,2903
2018-08-28,2908
2018-08-29,2908
2018-08-30,2762
2018-08-31,2762
2018-09-01,2763
2018-09-02,2763
2018-09-03,2780
2018-09-04,2780
2018-09-05,2755
2018-09-06,2755
2018-09-07,2730
2018-09-08,2730
2018-09-09,2687
2018-09-10,2687
2018-09-11,2574
2018-09-12,2574
2018-09-13,2465
2018-09-14,2465
2018-09-15,2397
2018-09-16,2397
2018-09-17,2397
2018-09-18,2447
2018-09-19,2447
2018-09-20,2520
2018-09-21,2520
2018-09-22,2610
2018-09-23,2610
2018-09-24,2570
2018-09-25,2570
2018-09-26,2536
2018-09-27,2536
2018-09-28,2589
2018-09-29,2589
2018-09-30,2595
2018-10-01,2595
2018-10-02,2650
2018-10-03,2530
2018-10-04,2530
2018-10-05,2530
2018-10-06,2490
2018-10-07,2490
2018-10-08,2532
2018-10-09,2532
2018-10-10,2478
2018-10-11,2478
2018-10-12,2389
2018-10-13,2389
2018-10-14,2310
2018-10-15,2310
2018-10-16,2378
2018-10-17,2378
2018-10-18,2441
2018-10-19,2441
2018-10-20,2410
2018-10-21,2410
2018-10-22,2439
2018-10-23,2439
2018-10-24,2425
2018-10-25,2425
2018-10-26,2337
2018-10-27,2337
2018-10-28,2314
2018-10-29,2314
2018-10-30,2314
2018-10-31,2340
2018-11-01,2340
2018-11-03,2356
2018-11-04,2382
2018-11-05,2472
2018-11-06,2472
2018-11-07,2510
2018-11-08,2510
