date_obj,Carved%20teak%20magic%20wardrobe%20(flatpack) price
2018-12-31,60
2019-01-01,60
2019-01-02,60
2019-01-03,60
2019-01-04,60
2019-01-05,60
2019-01-06,60
2019-01-08,60
2019-01-10,60
2019-01-11,60
2019-01-12,60
2019-01-13,60
2019-01-14,60
2019-01-15,58
2019-01-16,58
2019-01-17,58
2019-01-18,58
2019-01-19,58
2019-01-20,58
2019-01-21,58
2019-01-22,58
2019-01-23,58
2019-01-24,58
2019-01-25,58
2019-01-26,58
2019-01-27,58
2019-01-28,58
2019-01-29,58
2019-01-30,58
2019-01-31,58
2019-02-01,58
2019-02-02,58
2019-02-03,58
2019-02-04,58
2019-02-05,58
2019-02-06,58
2019-02-07,58
2019-02-08,58
2019-02-09,58
2019-02-10,58
2019-02-11,58
2019-02-12,58
2019-02-13,58
2019-02-14,58
2019-02-15,58
2019-02-16,58
2019-02-17,58
2019-02-18,58
2019-02-19,58
2019-02-20,58
2019-02-21,58
2019-02-22,58
2019-02-23,58
2019-02-24,58
2019-02-25,58
2019-02-26,58
2019-02-27,58
2019-02-28,58
2019-03-01,58
2019-03-02,58
2019-03-03,58
2019-03-04,58
2019-03-05,58
2019-03-06,58
2019-03-07,58
2019-03-08,58
2019-03-09,58
2019-03-10,58
2019-03-11,58
2019-03-12,58
2019-03-13,58
2019-03-14,58
2019-03-15,58
2019-03-16,58
2019-03-17,58
2019-03-18,58
2019-03-19,58
2019-03-20,58
2019-03-21,58
2019-03-22,58
2019-03-23,58
2019-03-24,58
2019-03-25,58
2019-03-26,58
2019-03-27,58
2019-03-28,58
2019-03-29,58
2019-03-30,58
2019-03-31,58
2019-04-01,58
2019-04-02,58
2019-04-03,58
2019-04-04,58
2019-04-05,58
2019-04-06,58
2019-04-07,58
2019-04-08,58
2019-04-09,58
2019-04-10,58
2019-04-11,58
2019-04-12,58
2019-04-13,58
2019-04-14,58
2019-04-15,58
2019-04-16,58
2019-04-17,58
2019-04-18,55
2019-04-19,55
2019-04-20,55
2019-04-21,55
2019-04-22,55
2019-04-23,55
2019-04-24,55
2019-04-25,55
2019-04-26,55
2019-04-27,55
2019-04-28,55
2019-04-29,55
2019-04-30,55
2019-05-01,55
2019-05-02,55
2019-05-03,55
2019-05-04,55
2019-05-05,55
2019-05-06,55
2019-05-07,55
2019-05-08,55
2019-05-09,55
2019-05-10,55
2019-05-11,55
2019-05-12,55
2019-05-13,55
2019-05-14,55
2019-05-15,55
2019-05-16,55
2019-05-17,55
2019-05-18,55
2019-05-19,55
2019-05-20,55
2019-05-21,55
2019-05-22,55
2019-05-23,55
2019-05-24,55
2019-05-25,55
2019-05-26,55
2019-05-27,55
2019-05-28,55
2019-05-29,55
2019-05-30,55
2019-05-31,55
2019-06-01,55
2019-06-02,55
2019-06-03,55
2019-06-04,55
2019-06-05,55
2019-06-06,55
2019-06-07,55
2019-06-08,55
2019-06-09,55
2019-06-10,55
2019-06-11,55
2019-06-12,55
2019-06-13,55
2019-06-14,55
2019-06-15,55
2019-06-16,55
2019-06-17,55
2019-06-18,55
2019-06-19,55
2019-06-20,55
2019-06-21,55
2019-06-22,55
2019-06-23,55
2019-06-24,55
2019-06-25,55
2019-06-26,55
2019-06-27,55
2019-06-28,55
2019-06-29,55
2019-06-30,53
2019-07-01,53
2019-07-02,53
2019-07-03,53
2019-07-04,53
2019-07-05,53
2019-07-06,53
2019-07-07,53
2019-07-08,53
2019-07-09,53
2019-07-10,53
2019-07-11,53
2019-07-12,53
2019-07-13,53
2019-07-14,53
2019-07-15,53
2019-07-16,53
2019-07-17,53
2019-07-18,53
2019-07-19,53
2019-07-20,53
2019-07-21,53
2019-07-22,53
2019-07-23,53
2019-07-24,53
2019-07-25,53
2019-07-26,53
2019-07-27,53
2019-07-28,53
2019-07-29,53
2019-07-30,53
2019-07-31,53
2019-08-01,53
2019-08-02,53
2019-08-03,53
2019-08-04,53
2019-08-05,53
2019-08-06,53
2019-08-07,53
