date_obj,Topaz%20bracelet price
2019-07-13,4097
2019-07-14,4097
2019-07-15,4097
2019-07-16,4236
2019-07-17,4236
2019-07-18,4236
2019-07-19,4236
2019-07-20,4236
2019-07-21,4289
2019-07-22,4289
2019-07-23,4289
2019-07-24,4289
2019-07-25,4289
2019-07-26,4289
2019-07-27,4289
2019-07-28,4289
2019-07-29,4289
2019-07-30,4111
2019-07-31,4111
2019-08-01,4111
2019-08-02,4111
2019-08-03,4111
2019-08-04,4111
2019-08-05,4111
2019-08-06,4111
2019-08-07,4162
2019-08-08,4162
2019-08-09,4162
2019-08-10,4162
2019-08-11,4162
2019-08-12,4162
2019-08-13,4162
2019-08-14,4216
2019-08-15,4216
2019-08-16,4216
2019-08-17,4216
2019-08-18,4216
2019-08-19,4271
2019-08-20,4271
2019-08-21,4271
2019-08-22,4271
2019-08-23,4271
2019-08-24,4271
2019-08-24,4271
2019-08-25,4271
2019-08-25,4271
2019-08-26,4304
2019-08-26,4304
2019-08-27,4304
2019-08-27,4304
2019-08-28,4304
2019-08-29,4304
2019-08-30,4304
2019-08-31,4304
2019-09-01,4400
2019-09-02,4400
2019-09-03,4400
2019-09-04,4400
2019-09-05,4400
2019-09-06,4400
2019-09-07,4400
2019-09-08,4400
2019-09-09,4400
2019-09-10,4463
2019-09-11,4463
2019-09-12,4463
2019-09-13,4463
2019-09-14,4463
2019-09-15,4463
2019-09-16,4631
2019-09-17,4631
2019-09-18,4631
2019-09-19,4631
2019-09-20,4631
2019-09-21,4631
2019-09-22,4631
2019-09-23,4686
2019-09-24,4686
2019-09-25,4686
2019-09-26,4686
2019-09-27,4686
2019-09-28,4858
2019-09-29,4858
2019-09-30,4858
2019-10-01,4858
2019-10-02,5066
2019-10-03,5066
2019-10-04,5066
2019-10-05,5066
2019-10-06,5268
2019-10-07,5268
2019-10-08,5268
2019-10-09,5268
2019-10-10,5268
2019-10-11,5268
2019-10-12,5268
2019-10-13,5420
2019-10-14,5420
2019-10-15,5420
2019-10-16,5420
2019-10-17,5420
2019-10-18,5420
2019-10-19,5420
2019-10-20,5420
2019-10-21,5420
2019-10-22,5420
2019-10-23,5445
2019-10-24,5445
2019-10-25,5445
2019-10-26,5445
2019-10-27,5445
2019-10-28,5445
2019-10-29,5445
2019-10-30,5445
2019-10-31,5445
2019-11-01,5445
2019-11-02,5504
2019-11-03,5504
