date_obj,Green%20d'hide%20vambraces price
2018-06-21,1337
2018-06-22,1357
2018-06-23,1343
2018-06-24,1330
2018-06-25,1319
2018-06-26,1303
2018-06-27,1302
2018-06-28,1310
2018-06-29,1315
2018-06-30,1341
2018-07-01,1343
2018-07-02,1339
2018-07-03,1315
2018-07-04,1325
2018-07-05,1353
2018-07-06,1327
2018-07-07,1312
2018-07-08,1320
2018-07-09,1315
2018-07-10,1328
2018-07-11,1301
2018-07-12,1290
2018-07-13,1325
2018-07-14,1319
2018-07-15,1338
2018-07-16,1323
2018-07-17,1320
2018-07-18,1296
2018-07-19,1300
2018-07-20,1322
2018-07-21,1316
2018-07-22,1284
2018-07-23,1311
2018-07-24,1321
2018-07-25,1306
2018-07-26,1331
2018-07-27,1342
2018-07-28,1321
2018-07-29,1309
2018-07-30,1310
2018-07-31,1335
2018-08-01,1309
2018-08-02,1308
2018-08-03,1307
2018-08-04,1306
2018-08-05,1291
2018-08-06,1281
2018-08-07,1299
2018-08-08,1307
2018-08-09,1305
2018-08-10,1284
2018-08-11,1271
2018-08-12,1276
2018-08-14,1299
2018-08-16,1247
2018-08-17,1273
2018-08-18,1286
2018-08-19,1276
2018-08-20,1277
2018-08-21,1291
2018-08-22,1287
2018-08-23,1273
2018-08-24,1260
2018-08-25,1268
2018-08-26,1268
2018-08-27,1263
2018-08-28,1275
2018-08-29,1268
2018-08-30,1282
2018-08-31,1280
2018-09-01,1286
2018-09-02,1259
2018-09-03,1243
2018-09-04,1251
2018-09-05,1274
2018-09-06,1287
2018-09-07,1292
2018-09-08,1269
2018-09-09,1267
2018-09-10,1299
2018-09-11,1303
2018-09-12,1288
2018-09-13,1291
2018-09-14,1291
2018-09-15,1294
2018-09-16,1308
2018-09-17,1317
2018-09-18,1312
2018-09-19,1298
2018-09-20,1315
2018-09-21,1314
2018-09-22,1302
2018-09-23,1255
2018-09-24,1266
2018-09-25,1261
2018-09-26,1268
2018-09-27,1269
2018-09-28,1277
2018-09-29,1283
2018-09-30,1284
2018-10-01,1291
2018-10-02,1332
2018-10-03,1295
2018-10-04,1275
2018-10-05,1299
2018-10-06,1292
2018-10-07,1268
2018-10-08,1284
2018-10-09,1279
2018-10-10,1299
2018-10-11,1301
2018-10-12,1307
2018-10-13,1296
2018-10-14,1289
2018-10-15,1299
2018-10-16,1267
2018-10-17,1287
2018-10-18,1292
2018-10-19,1307
2018-10-20,1295
2018-10-21,1296
