date_obj,Slayer's%20enchantment price
2019-08-01,1146
2019-08-02,1118
2019-08-03,1067
2019-08-04,1013
2019-08-05,984
2019-08-06,985
2019-08-07,989
2019-08-08,1004
2019-08-09,1019
2019-08-10,1018
2019-08-11,1012
2019-08-12,1018
2019-08-13,1012
2019-08-14,1019
2019-08-15,1067
2019-08-16,1050
2019-08-17,1089
2019-08-18,1101
2019-08-19,1128
2019-08-20,1104
2019-08-21,1127
2019-08-22,1128
2019-08-23,1125
2019-08-24,1135
2019-08-24,1135
2019-08-25,1140
2019-08-25,1140
2019-08-26,1148
2019-08-26,1148
2019-08-27,1094
2019-08-27,1094
2019-08-28,1048
2019-08-29,1034
2019-08-30,1003
2019-08-31,953
2019-09-01,929
2019-09-02,941
2019-09-03,912
2019-09-04,958
2019-09-05,1006
2019-09-06,1057
2019-09-07,1110
2019-09-08,1104
2019-09-09,1124
2019-09-10,1119
2019-09-11,1175
2019-09-12,1127
2019-09-13,1121
2019-09-14,1104
2019-09-15,1064
2019-09-16,1050
2019-09-17,1103
2019-09-18,1092
2019-09-19,1117
2019-09-20,1117
2019-09-21,1118
2019-09-22,1115
2019-09-23,1121
2019-09-24,1121
2019-09-25,1130
2019-09-26,1132
2019-09-27,1143
2019-09-28,1116
2019-09-29,1121
2019-09-30,1117
2019-10-01,1125
2019-10-02,1131
2019-10-03,1132
2019-10-04,1135
2019-10-05,1131
2019-10-06,1124
2019-10-07,1084
2019-10-08,1033
2019-10-09,1005
2019-10-10,1022
2019-10-11,1069
2019-10-12,1120
2019-10-13,1147
2019-10-14,1155
2019-10-15,1139
2019-10-16,1082
2019-10-17,1027
2019-10-18,978
2019-10-19,971
2019-10-20,1013
2019-10-21,1064
2019-10-22,1118
2019-10-23,1146
2019-10-24,1192
2019-10-25,1252
2019-10-26,1315
2019-10-27,1381
2019-10-28,1451
2019-10-29,1524
2019-10-30,1451
2019-10-31,1423
2019-11-01,1351
2019-11-02,1296
2019-11-03,1319
2019-11-04,1263
2019-11-05,1223
2019-11-06,1242
2019-11-07,1278
2019-11-08,1244
2019-11-09,1193
2019-11-10,1148
