date_obj,Cavalier%20mask price
2017-12-24,89855
2017-12-25,89855
2017-12-26,89855
2017-12-27,90167
2017-12-28,90167
2017-12-29,90167
2017-12-30,90167
2017-12-31,90167
2018-01-01,90167
2018-01-02,90167
2018-01-03,90167
2018-01-04,90167
2018-01-05,90167
2018-01-06,90167
2018-01-07,90495
2018-01-08,90495
2018-01-09,90495
2018-01-10,90495
2018-01-11,90495
2018-01-12,90495
2018-01-13,90495
2018-01-14,90495
2018-01-15,90495
2018-01-16,90495
2018-01-17,90495
2018-01-18,90495
2018-01-19,90495
2018-01-20,88858
2018-01-21,88858
2018-01-22,88858
2018-01-23,88858
2018-01-24,88858
2018-01-25,88858
2018-01-26,88858
2018-01-27,90488
2018-01-28,90488
2018-01-29,90488
2018-01-30,90488
2018-01-31,90488
2018-02-01,90488
2018-02-02,90488
2018-02-03,91776
2018-02-04,91776
2018-02-05,91776
2018-02-06,91776
2018-02-07,91776
2018-02-08,91776
2018-02-09,91776
2018-02-10,91867
2018-02-11,91867
2018-02-12,91867
2018-02-13,91867
2018-02-14,91867
2018-02-15,91867
2018-02-16,91867
2018-02-17,93359
2018-02-18,93359
2018-02-19,93359
2018-02-20,93359
2018-02-21,93359
2018-02-22,93359
2018-02-23,93359
2018-02-24,92626
2018-02-25,92626
2018-02-26,92626
2018-02-27,92626
2018-02-28,92626
2018-03-01,92626
2018-03-02,92626
2018-03-03,94123
2018-03-04,94123
2018-03-05,94123
2018-03-06,94123
2018-03-07,94123
2018-03-08,94123
2018-03-09,94123
2018-03-10,94123
2018-03-11,93631
2018-03-12,93631
2018-03-13,93631
2018-03-14,93631
2018-03-15,93631
2018-03-16,93631
2018-03-17,93631
2018-03-18,93631
2018-03-20,95670
2018-03-21,95670
2018-03-23,95670
2018-03-24,95670
2018-03-25,95670
2018-03-26,95670
2018-03-27,95670
2018-03-28,95670
2018-03-29,98784
2018-03-30,98784
2018-03-31,98784
2018-04-01,98784
2018-04-02,98784
2018-04-03,98784
2018-04-04,98784
2018-04-05,98784
2018-04-06,98784
2018-04-07,99772
2018-04-08,99772
2018-04-09,99772
2018-04-10,99772
2018-04-11,99772
2018-04-12,99772
2018-04-13,99772
2018-04-14,99772
2018-04-15,96839
2018-04-16,96839
2018-04-17,96839
2018-04-18,96839
2018-04-19,96839
2018-04-20,96839
2018-04-21,96839
2018-04-22,96839
2018-04-23,96839
2018-04-24,94044
2018-04-25,94044
2018-04-26,94044
2018-04-27,94044
2018-04-28,94044
2018-04-29,94044
2018-04-30,94044
2018-05-01,90547
2018-05-02,90547
2018-05-03,90547
2018-05-04,90547
2018-05-05,90547
2018-05-07,90547
2018-05-08,90547
2018-05-09,90711
2018-05-10,90711
2018-05-11,90711
2018-05-12,90711
2018-05-13,90711
2018-05-14,90711
2018-05-15,90711
2018-05-16,90711
2018-05-17,92829
2018-05-18,92829
2018-05-19,92829
2018-05-20,92829
2018-05-21,92829
2018-05-22,92829
2018-05-23,92829
2018-05-24,92829
2018-05-25,95452
2018-05-26,95452
2018-05-27,95452
2018-05-28,95452
2018-05-29,95452
2018-05-30,95452
2018-05-31,95452
2018-06-01,95452
2018-06-02,94298
2018-06-03,94298
2018-06-04,94298
2018-06-05,94298
2018-06-06,94298
2018-06-07,94298
2018-06-08,94298
2018-06-09,94298
2018-06-10,97563
2018-06-11,97563
2018-06-12,97563
2018-06-13,97563
2018-06-14,97563
2018-06-15,97563
2018-06-16,97563
2018-06-17,97563
2018-06-18,97613
2018-06-19,97613
2018-06-20,97613
2018-06-21,97613
2018-06-22,97613
2018-06-23,97613
2018-06-24,97613
2018-06-25,97613
2018-06-26,95580
2018-06-27,95580
2018-06-28,95580
