date_obj,Book%20of%20law%20page%20set price
2017-11-26,1009606
2017-11-27,1009606
2017-11-28,1009606
2017-11-29,1057794
2017-11-30,1057794
2017-12-01,1089019
2017-12-02,1089019
2017-12-03,1089019
2017-12-04,1080419
2017-12-05,1080419
2017-12-06,1089723
2017-12-07,1089723
2017-12-08,1089723
2017-12-09,1093195
2017-12-10,1093195
2017-12-11,1102067
2017-12-12,1102067
2017-12-13,1102067
2017-12-14,1070797
2017-12-15,1070797
2017-12-16,1070797
2017-12-17,1024633
2017-12-18,1024633
2017-12-19,973708
2017-12-20,973708
2017-12-21,946385
2017-12-22,946385
2017-12-23,922255
2017-12-24,922255
2017-12-25,922255
2017-12-26,955757
2017-12-27,955757
2017-12-28,974871
2017-12-29,974871
2017-12-30,971857
2017-12-31,971857
2018-01-01,997038
2018-01-02,997038
2018-01-03,994140
2018-01-04,994140
2018-01-05,1021433
2018-01-06,1021433
2018-01-07,1069766
2018-01-08,1069766
2018-01-09,1084130
2018-01-10,1084130
2018-01-11,1084130
2018-01-12,1045641
2018-01-13,1045641
2018-01-14,1022676
2018-01-15,1022676
2018-01-16,989379
2018-01-17,989379
2018-01-18,1011931
2018-01-19,1011931
2018-01-20,1011931
2018-01-21,982077
2018-01-22,982077
2018-01-23,969088
2018-01-24,984007
2018-01-25,984007
2018-01-26,975639
2018-01-27,1013598
2018-01-28,1011360
2018-01-29,990602
2018-01-30,983801
2018-01-31,976823
2018-02-01,976823
2018-02-02,964968
2018-02-03,955511
2018-02-04,959797
2018-02-05,959797
2018-02-06,937354
2018-02-07,904193
2018-02-08,904193
2018-02-09,866321
2018-02-10,866321
2018-02-11,827538
2018-02-12,812105
2018-02-13,812105
2018-02-14,794454
2018-02-15,782961
2018-02-16,799945
2018-02-17,839632
2018-02-18,877103
2018-02-19,887459
2018-02-20,887459
2018-02-21,914553
2018-02-22,914553
2018-02-23,892847
2018-02-24,892847
2018-02-25,913025
2018-02-26,900414
2018-02-27,888508
2018-02-28,888508
2018-03-01,881205
2018-03-02,869046
2018-03-03,880774
2018-03-04,880774
2018-03-05,916506
2018-03-06,913234
2018-03-07,893019
2018-03-08,893019
2018-03-09,856389
2018-03-10,824915
2018-03-11,816258
2018-03-12,793357
2018-03-13,785462
2018-03-14,792951
2018-03-15,792951
2018-03-16,796417
2018-03-17,795227
2018-03-18,778749
2018-03-19,778749
2018-03-20,780829
2018-03-21,780829
2018-03-23,785717
2018-03-24,798433
2018-03-25,833242
2018-03-26,833242
2018-03-27,865743
2018-03-28,865743
2018-03-29,897393
2018-03-30,931339
2018-03-31,967189
2018-04-01,967189
2018-04-02,977412
2018-04-03,991872
2018-04-04,975584
2018-04-05,975584
2018-04-06,983126
2018-04-07,983126
2018-04-08,980614
2018-04-09,976527
2018-04-10,976527
2018-04-11,998092
2018-04-12,1017136
2018-04-13,1017136
2018-04-14,1050907
2018-04-15,1095296
2018-04-16,1095296
2018-04-17,1069684
2018-04-18,1069684
2018-04-19,1047190
2018-04-20,1031428
2018-04-21,1037282
2018-04-22,1037282
2018-04-23,1010854
2018-04-24,1010854
2018-04-25,964989
2018-04-26,964989
2018-04-27,936642
2018-04-28,892653
2018-04-29,872319
2018-04-30,854237
2018-05-01,863984
2018-05-02,863984
2018-05-03,853818
2018-05-04,853818
2018-05-05,855081
2018-05-06,855081
2018-05-07,847111
2018-05-08,847111
