date_obj,Seercull price
2017-12-04,15707
2017-12-05,15756
2017-12-06,15756
2017-12-07,15578
2017-12-08,15578
2017-12-09,15402
2017-12-10,15579
2017-12-11,15579
2017-12-12,15857
2017-12-13,15857
2017-12-14,15640
2017-12-15,16321
2017-12-16,16321
2017-12-17,16930
2017-12-18,17102
2017-12-19,17102
2017-12-20,17534
2017-12-21,17547
2017-12-22,17547
2017-12-23,17573
2017-12-24,17573
2017-12-25,18222
2017-12-26,18755
2017-12-27,19236
2017-12-28,19236
2017-12-29,19326
2017-12-30,19633
2017-12-31,19633
2018-01-01,20176
2018-01-02,20176
2018-01-03,20429
2018-01-04,20429
2018-01-05,19573
2018-01-06,18594
2018-01-07,18286
2018-01-08,18241
2018-01-09,18368
2018-01-10,18368
2018-01-11,18309
2018-01-12,18309
2018-01-13,17703
2018-01-14,17703
2018-01-15,17353
2018-01-16,17769
2018-01-17,17465
2018-01-18,16978
2018-01-19,16978
2018-01-20,17332
2018-01-21,17332
2018-01-22,17648
2018-01-23,18050
2018-01-24,18455
2018-01-25,18413
2018-01-26,18922
2018-01-27,19099
2018-01-28,19177
2018-01-29,19434
2018-01-30,20211
2018-02-01,20946
2018-02-02,21231
2018-02-03,20169
2018-02-04,19200
2018-02-05,19204
2018-02-06,20090
2018-02-07,21051
2018-02-08,21051
2018-02-09,21912
2018-02-10,22826
2018-02-11,23713
2018-02-12,24710
2018-02-13,25705
2018-02-14,26736
2018-02-15,27728
2018-02-16,28274
2018-02-17,28379
2018-02-18,27414
2018-02-19,27699
2018-02-20,29031
2018-02-21,30138
2018-02-22,28871
2018-02-23,29308
2018-02-24,30139
2018-02-25,31396
2018-02-26,31830
2018-02-27,32206
2018-02-28,33353
2018-03-01,33150
2018-03-02,33596
2018-03-03,35242
2018-03-04,35242
2018-03-05,36503
2018-03-06,37386
2018-03-07,38076
2018-03-08,39501
2018-03-09,39667
2018-03-10,39553
2018-03-11,39050
2018-03-12,37904
2018-03-13,37436
2018-03-14,35939
2018-03-15,35711
2018-03-16,36282
2018-03-17,35075
2018-03-18,35119
2018-03-19,36474
2018-03-20,36564
2018-03-21,35980
2018-03-23,34785
2018-03-24,34916
2018-03-26,34512
2018-03-27,34727
2018-03-28,35687
2018-03-29,35922
2018-03-30,37227
2018-03-31,37324
2018-04-01,37598
2018-04-02,38230
2018-04-03,37157
2018-04-04,38181
2018-04-05,37293
2018-04-06,36434
2018-04-08,35332
2018-04-09,35727
2018-04-10,35157
2018-04-11,34664
2018-04-12,34066
2018-04-13,33424
2018-04-14,33298
2018-04-15,32996
2018-04-16,31935
2018-04-17,30507
2018-04-18,29938
2018-04-19,28944
2018-04-20,28363
2018-04-21,27786
2018-04-22,26490
2018-04-23,26376
2018-04-24,27202
2018-04-25,27316
2018-04-26,27960
2018-04-27,28643
2018-04-28,29465
2018-04-29,28888
2018-04-30,28221
2018-05-01,28547
2018-05-02,28853
2018-05-03,28258
2018-05-04,27340
2018-05-05,26287
2018-05-06,26029
2018-05-07,26434
2018-05-08,26640
2018-05-09,26977
2018-05-10,27292
2018-05-11,28486
2018-05-12,28076
2018-05-13,27892
2018-05-14,27967
2018-05-15,29119
2018-05-16,29469
2018-05-17,29606
2018-05-18,29872
2018-05-19,30669
2018-05-20,31625
2018-05-21,31479
2018-05-22,31864
2018-05-23,31703
2018-05-24,30224
2018-05-25,29155
2018-05-26,30364
2018-05-27,29653
2018-05-28,30250
2018-05-29,30244
2018-05-30,31300
2018-05-31,32259
2018-06-01,32264
2018-06-02,33195
2018-06-03,33694
2018-06-04,32589
2018-06-05,32479
2018-06-06,32732
2018-06-07,31095
2018-06-08,30137
2018-06-09,28835
2018-06-10,27975
2018-06-11,28982
2018-06-12,29639
2018-06-13,29074
2018-06-14,28184
2018-06-15,27693
2018-06-16,26758
2018-06-17,26294
2018-06-18,26216
2018-06-19,25265
2018-06-20,25265
2018-06-21,25351
2018-06-22,25091
2018-06-23,25294
2018-06-24,25733
2018-06-25,25701
2018-06-26,25210
2018-06-27,24967
2018-06-28,25241
2018-06-29,25927
