date_obj,Garden%20pie price
2017-07-25,123
2017-07-26,116
2017-07-27,110
2017-07-28,110
2017-07-29,104
2017-07-30,98
2017-07-31,98
2017-08-01,97
2017-08-02,92
2017-08-03,92
2017-08-04,88
2017-08-05,86
2017-08-06,86
2017-08-09,86
2017-08-10,86
2017-08-11,88
2017-08-12,88
2017-08-13,90
2017-08-14,90
2017-08-15,91
2017-08-16,91
2017-08-17,92
2017-08-18,92
2017-08-19,94
2017-08-20,91
2017-08-21,91
2017-08-22,91
2017-08-23,91
2017-08-24,89
2017-08-25,89
2017-08-26,89
2017-08-27,89
2017-08-28,89
2017-08-29,89
2017-08-30,88
2017-08-31,88
2017-09-01,89
2017-09-02,89
2017-09-03,89
2017-09-04,88
2017-09-05,88
2017-09-06,85
2017-09-07,85
2017-09-08,86
2017-09-09,89
2017-09-10,90
2017-09-11,90
2017-09-12,89
2017-09-13,89
2017-09-14,89
2017-09-15,89
2017-09-16,88
2017-09-17,88
2017-09-18,88
2017-09-19,86
2017-09-20,85
2017-09-21,85
2017-09-22,90
2017-09-23,90
2017-09-24,95
2017-09-25,95
2017-09-26,97
2017-09-27,97
2017-09-28,93
2017-09-29,91
2017-09-30,91
2017-10-01,91
2017-10-02,91
2017-10-03,90
2017-10-04,90
2017-10-05,89
2017-10-06,89
2017-10-07,87
2017-10-08,87
2017-10-09,85
2017-10-10,85
2017-10-11,82
2017-10-12,80
2017-10-13,80
2017-10-14,79
2017-10-15,79
2017-10-16,80
2017-10-17,80
2017-10-18,80
2017-10-19,80
2017-10-20,78
2017-10-21,78
2017-10-22,78
2017-10-23,78
2017-10-24,78
2017-10-25,77
2017-10-26,77
2017-10-27,79
2017-10-28,79
2017-10-29,76
2017-10-30,76
2017-10-31,73
2017-11-01,73
2017-11-02,69
2017-11-03,69
2017-11-04,66
2017-11-05,66
2017-11-06,65
2017-11-07,65
2017-11-08,64
2017-11-09,64
2017-11-10,64
2017-11-11,64
2017-11-12,64
2017-11-13,64
2017-11-14,62
2017-11-15,62
2017-11-16,60
2017-11-17,60
2017-11-18,61
2017-11-19,61
2017-11-20,57
2017-11-21,56
2017-11-22,56
2017-11-23,55
2017-11-24,55
2017-11-25,55
2017-11-26,55
2017-11-27,58
2017-11-28,61
2017-11-29,61
2017-11-30,64
2017-12-01,66
2017-12-02,66
2017-12-03,64
2017-12-04,64
2017-12-05,68
2017-12-06,68
2017-12-07,72
2017-12-08,72
2017-12-09,75
2017-12-10,77
2017-12-11,77
2017-12-12,77
2017-12-13,77
2017-12-14,76
2017-12-15,75
2017-12-16,75
2017-12-17,72
2017-12-18,73
2017-12-19,73
2017-12-20,76
2017-12-21,76
2017-12-22,77
2017-12-23,77
2017-12-24,78
2017-12-25,78
2017-12-26,80
2017-12-27,80
2017-12-28,80
2017-12-29,80
2017-12-30,78
2017-12-31,78
2018-01-01,77
2018-01-02,77
2018-01-03,75
2018-01-04,75
2018-01-05,74
2018-01-06,70
2018-01-07,70
2018-01-08,69
2018-01-09,72
2018-01-10,72
2018-01-11,75
2018-01-12,78
2018-01-13,77
2018-01-14,77
2018-01-15,78
2018-01-16,79
2018-01-17,78
2018-01-18,78
2018-01-19,79
2018-01-20,79
2018-01-21,79
2018-01-22,81
2018-01-23,81
2018-01-24,82
2018-01-25,80
2018-01-26,81
2018-01-27,80
2018-01-28,79
2018-01-29,80
2018-01-30,80
2018-01-31,83
